GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0030490	maturation of SSU-rRNA	1.25e-05	1.25e-05	1	Y41C4A.9,Y51H4A.15,Y53C12B.1,F13H8.2,F52C12.2,F55F8.3,F57B10.8,T22H9.1,Y23H5B.5,Y48G1A.4,ZK430.7
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3.78e-05	3.78e-05	1	Y41C4A.9,Y51H4A.15,Y53C12B.1,F13H8.2,F55F8.3,F57B10.8,T22H9.1,Y23H5B.5,ZK430.7
GO:0000470	maturation of LSU-rRNA	2.14e-02	2.14e-02	1	F44G4.1,Y48B6A.1,Y54E10A.10
GO:0008380	RNA splicing	5.44e-04	5.44e-04	1	F53B7.3,K07C5.6,T11G6.8,T13H5.4,C50F2.3,F33D11.10,F53H1.1,M03F8.3,T12A2.7,Y65B4A.6
GO:0000375	RNA splicing, via transesterification reactions	7.22e-03	7.22e-03	1	F53B7.3,K07C5.6,T11G6.8,T13H5.4,C50F2.3,F53H1.1,M03F8.3,T12A2.7
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	2.43e-02	2.43e-02	1	F53B7.3,T11G6.8,T13H5.4,C50F2.3,F53H1.1,M03F8.3,T12A2.7
GO:0006397	mRNA processing	9.93e-04	9.93e-04	1	F43G6.5,F53B7.3,T11G6.8,T13H5.4,T15H9.6,Y53F4B.13,C50F2.3,F53H1.1,M03F8.3,T12A2.7
GO:0000398	mRNA splicing, via spliceosome	2.43e-02	2.43e-02	1	F53B7.3,T11G6.8,T13H5.4,C50F2.3,F53H1.1,M03F8.3,T12A2.7
GO:0016052	carbohydrate catabolic process	1.44e-02	1.44e-02	1	Y43F4B.5,F08F8.7,R05F9.6,T22F3.3
GO:0044724	single-organism carbohydrate catabolic process	3.29e-03	3.29e-03	1	Y43F4B.5,F08F8.7,R05F9.6,T22F3.3
GO:0009058	biosynthetic process	4.91e-03	4.91e-03	1	B0491.7,C01G10.9,C16C10.2,C29F7.3,C31C9.2,F10C2.4,F10F2.2,F11A3.2,F21D5.1,F45G2.10,T01H8.2,T04H1.2,T14D7.1,W01D2.1,Y18D10A.9,Y39B6A.3,Y39B6A.36,Y43F4B.5,Y47D3A.29,Y48B6A.13,Y54G11A.9,ZC506.1,ZK1098.4,C06G3.5,C17G10.9,E01A2.1,F56F11.4,F58F12.1,H34C03.2,R05F9.6,R12E2.11,T07A9.8,T24G10.2,W06E11.1,W09C3.4,Y23H5B.5,Y37E3.8,Y37E3.10,Y39G10AR.8,Y53G8AL.2
GO:1901576	organic substance biosynthetic process	4.28e-02	4.28e-02	1	C01G10.9,C16C10.2,C29F7.3,C31C9.2,F10C2.4,F10F2.2,F11A3.2,F21D5.1,T01H8.2,T04H1.2,T14D7.1,W01D2.1,Y39B6A.36,Y43F4B.5,Y47D3A.29,Y48B6A.13,ZC506.1,ZK1098.4,C06G3.5,C17G10.9,E01A2.1,F56F11.4,F58F12.1,H34C03.2,R05F9.6,R12E2.11,T07A9.8,T24G10.2,W06E11.1,W09C3.4,Y23H5B.5,Y37E3.8,Y37E3.10,Y39G10AR.8,Y53G8AL.2
GO:1901566	organonitrogen compound biosynthetic process	3.83e-03	3.83e-03	1	C01G10.9,C16C10.2,C29F7.3,C31C9.2,F10F2.2,F11A3.2,T01H8.2,T04H1.2,T14D7.1,W01D2.1,ZK1098.4,C06G3.5,C17G10.9,E01A2.1,F58F12.1,R12E2.11,Y37E3.8,Y37E3.10,Y39G10AR.8
GO:0044242	cellular lipid catabolic process	1.63e-03	1.63e-03	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0046365	monosaccharide catabolic process	2.14e-02	2.14e-02	1	Y43F4B.5,F08F8.7,R05F9.6
GO:0006082	organic acid metabolic process	4.94e-03	4.94e-03	1	C01G10.9,C25A1.5,C31C9.2,F08A8.4,F10F2.2,F27D4.1,F54D5.7,F59F4.1,T01H8.2,T14D7.1,ZK836.2,C16A3.10,F58F9.7,K09H11.1,R12C12.1,Y51H7C.9
GO:0043436	oxoacid metabolic process	4.94e-03	4.94e-03	1	C01G10.9,C25A1.5,C31C9.2,F08A8.4,F10F2.2,F27D4.1,F54D5.7,F59F4.1,T01H8.2,T14D7.1,ZK836.2,C16A3.10,F58F9.7,K09H11.1,R12C12.1,Y51H7C.9
GO:0019752	carboxylic acid metabolic process	4.94e-03	4.94e-03	1	C01G10.9,C25A1.5,C31C9.2,F08A8.4,F10F2.2,F27D4.1,F54D5.7,F59F4.1,T01H8.2,T14D7.1,ZK836.2,C16A3.10,F58F9.7,K09H11.1,R12C12.1,Y51H7C.9
GO:0006520	cellular amino acid metabolic process	1.85e-02	1.85e-02	1	C01G10.9,C31C9.2,F10F2.2,T01H8.2,T14D7.1,C16A3.10,R12C12.1,Y51H7C.9
GO:1901605	alpha-amino acid metabolic process	7.22e-03	7.22e-03	1	C01G10.9,C31C9.2,F10F2.2,T01H8.2,T14D7.1,C16A3.10,R12C12.1,Y51H7C.9
GO:0009069	serine family amino acid metabolic process	3.69e-02	3.69e-02	1	C31C9.2,T01H8.2,T14D7.1,R12C12.1,Y51H7C.9
GO:0006091	generation of precursor metabolites and energy	2.18e-03	2.18e-03	1	F53F4.10,Y39B6A.33,Y43F4B.5,ZK836.2,R05F9.6,T20H4.5,T22F3.3
GO:0015980	energy derivation by oxidation of organic compounds	2.18e-03	2.18e-03	1	F53F4.10,Y39B6A.33,Y43F4B.5,ZK836.2,R05F9.6,T20H4.5,T22F3.3
GO:0016054	organic acid catabolic process	3.78e-05	3.78e-05	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,C16A3.10,F58F9.7,K09H11.1,R12C12.1,Y51H7C.9
GO:0046395	carboxylic acid catabolic process	3.78e-05	3.78e-05	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,C16A3.10,F58F9.7,K09H11.1,R12C12.1,Y51H7C.9
GO:0072329	monocarboxylic acid catabolic process	7.67e-05	7.67e-05	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0044249	cellular biosynthetic process	1.35e-03	1.35e-03	1	B0491.7,C01G10.9,C16C10.2,C29F7.3,C31C9.2,F10C2.4,F10F2.2,F11A3.2,F21D5.1,T01H8.2,T04H1.2,T14D7.1,W01D2.1,Y39B6A.36,Y43F4B.5,Y47D3A.29,Y48B6A.13,ZC506.1,ZK1098.4,C06G3.5,C17G10.9,E01A2.1,F56F11.4,F58F12.1,H34C03.2,R05F9.6,R12E2.11,T07A9.8,T24G10.2,W06E11.1,W09C3.4,Y23H5B.5,Y37E3.8,Y37E3.10,Y39G10AR.8,Y53G8AL.2
GO:0044271	cellular nitrogen compound biosynthetic process	4.48e-03	4.48e-03	1	C16C10.2,C29F7.3,F10C2.4,F10F2.2,F11A3.2,F21D5.1,T04H1.2,W01D2.1,Y39B6A.36,Y47D3A.29,ZK1098.4,C06G3.5,C17G10.9,E01A2.1,F56F11.4,F58F12.1,H34C03.2,R12E2.11,T07A9.8,T24G10.2,W06E11.1,W09C3.4,Y23H5B.5,Y37E3.8,Y37E3.10,Y39G10AR.8
GO:0006631	fatty acid metabolic process	3.16e-04	3.16e-04	1	C25A1.5,F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0009062	fatty acid catabolic process	7.67e-05	7.67e-05	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0019395	fatty acid oxidation	7.67e-05	7.67e-05	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0006635	fatty acid beta-oxidation	7.67e-05	7.67e-05	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0033539	fatty acid beta-oxidation using acyl-CoA dehydrogenase	7.67e-05	7.67e-05	1	F08A8.4,F27D4.1,F54D5.7,F59F4.1,F58F9.7,K09H11.1
GO:0009451	RNA modification	5.58e-04	5.58e-04	1	B0024.11,K01G5.5,K07C5.4,W02A11.1,W02B12.10,Y39A1A.14,Y48A6B.3,Y53F4B.13,Y37E11B.5
GO:0001522	pseudouridine synthesis	2.14e-02	2.14e-02	1	B0024.11,K01G5.5,Y48A6B.3
GO:0001510	RNA methylation	3.80e-02	3.80e-02	1	W02A11.1,W02B12.10,Y39A1A.14,Y53F4B.13
GO:0000154	rRNA modification	3.29e-03	3.29e-03	1	K01G5.5,K07C5.4,Y39A1A.14,Y48A6B.3
GO:0006790	sulfur compound metabolic process	5.00e-02	5.00e-02	1	C01G10.9,Y39B6A.3,Y48B6A.13,Y54G11A.9,E01A2.1,Y53G8B.1
GO:0006413	translational initiation	1.77e-02	1.77e-02	1	F11A3.2,T04H1.2,ZK1098.4,C17G10.9,Y37E3.10,Y39G10AR.8
GO:0032991	macromolecular complex	2.19e-15	2.19e-15	1	C04F12.8,C15C6.4,C16C10.2,F10C2.4,F11A3.2,F30A10.9,F44G4.1,F45G2.8,F53B7.3,F53F4.10,K01G5.5,K07C5.4,K07C5.6,T11G6.8,T13H5.4,W01D2.1,W02A11.1,W02B12.10,Y39A1A.14,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48A6B.3,Y48B6A.1,Y53C12B.1,Y59A8B.8,Y75B8A.7,ZC434.4,ZK795.3,ZK836.2,ZK1098.4,B0280.9,C05C8.2,C05D11.9,C07H6.2,C17G10.9,C34E10.10,C48B6.2,C50F2.3,C56G2.7,E01A2.1,F13H8.2,F25G6.8,F27C1.6,F33D11.10,F40F4.7,F55F8.3,F56F11.4,F58F12.1,H35B03.2,M03F8.3,M57.2,R12C12.1,T07A9.8,T12A2.7,T22H9.1,T28B4.1,W06E11.1,W09C3.4,Y23H5B.5,Y37E3.8,Y37E3.10,Y48G1A.4,Y53G8AL.2,Y65B4A.6,Y97E10AL.3,ZK328.7,ZK430.7
GO:1990904	ribonucleoprotein complex	5.24e-17	5.24e-17	1	C15C6.4,C16C10.2,F30A10.9,F44G4.1,F53B7.3,K01G5.5,K07C5.4,K07C5.6,T11G6.8,T13H5.4,W01D2.1,Y39A1A.14,Y41C4A.9,Y45F10D.7,Y48A6B.3,Y48B6A.1,Y53C12B.1,Y75B8A.7,ZC434.4,ZK795.3,B0280.9,C05C8.2,C05D11.9,C34E10.10,C48B6.2,C50F2.3,F13H8.2,F25G6.8,F27C1.6,F33D11.10,F55F8.3,H35B03.2,M03F8.3,T12A2.7,T22H9.1,Y23H5B.5,Y37E3.8,Y37E3.10,Y48G1A.4,Y65B4A.6,ZK430.7
GO:0030529	intracellular ribonucleoprotein complex	5.24e-17	5.24e-17	1	C15C6.4,C16C10.2,F30A10.9,F44G4.1,F53B7.3,K01G5.5,K07C5.4,K07C5.6,T11G6.8,T13H5.4,W01D2.1,Y39A1A.14,Y41C4A.9,Y45F10D.7,Y48A6B.3,Y48B6A.1,Y53C12B.1,Y75B8A.7,ZC434.4,ZK795.3,B0280.9,C05C8.2,C05D11.9,C34E10.10,C48B6.2,C50F2.3,F13H8.2,F25G6.8,F27C1.6,F33D11.10,F55F8.3,H35B03.2,M03F8.3,T12A2.7,T22H9.1,Y23H5B.5,Y37E3.8,Y37E3.10,Y48G1A.4,Y65B4A.6,ZK430.7
GO:0030684	preribosome	3.97e-13	3.97e-13	1	C16C10.2,F30A10.9,F44G4.1,K07C5.4,Y39A1A.14,Y41C4A.9,Y45F10D.7,Y48B6A.1,Y53C12B.1,Y75B8A.7,ZC434.4,ZK795.3,B0280.9,C05C8.2,C34E10.10,C48B6.2,F13H8.2,F27C1.6,F55F8.3,T22H9.1,Y23H5B.5,Y48G1A.4,ZK430.7
GO:0030686	90S preribosome	2.60e-07	2.60e-07	1	Y45F10D.7,Y48B6A.1,Y53C12B.1,Y75B8A.7,ZC434.4,ZK795.3,B0280.9,C48B6.2,F13H8.2,F55F8.3,T22H9.1,Y48G1A.4
GO:0032040	small-subunit processome	2.62e-11	2.62e-11	1	C16C10.2,F30A10.9,K07C5.4,Y39A1A.14,Y41C4A.9,Y45F10D.7,Y53C12B.1,Y75B8A.7,ZK795.3,B0280.9,C05C8.2,C34E10.10,C48B6.2,F13H8.2,F27C1.6,F55F8.3,Y23H5B.5,Y48G1A.4,ZK430.7
GO:0005732	small nucleolar ribonucleoprotein complex	5.03e-04	5.03e-04	1	C15C6.4,K01G5.5,K07C5.4,Y48A6B.3,C05D11.9
GO:0043234	protein complex	4.62e-10	4.62e-10	1	C04F12.8,C15C6.4,F10C2.4,F11A3.2,F45G2.8,F53B7.3,F53F4.10,T11G6.8,W02A11.1,W02B12.10,Y39B6A.36,Y45F10D.7,Y47D3A.29,Y48B6A.1,Y53C12B.1,Y59A8B.8,Y75B8A.7,ZC434.4,ZK795.3,ZK836.2,ZK1098.4,B0280.9,C05D11.9,C07H6.2,C17G10.9,C48B6.2,C50F2.3,C56G2.7,E01A2.1,F13H8.2,F40F4.7,F55F8.3,F56F11.4,F58F12.1,H35B03.2,M03F8.3,M57.2,R12C12.1,T07A9.8,T12A2.7,T28B4.1,W06E11.1,W09C3.4,Y23H5B.5,Y37E3.10,Y48G1A.4,Y53G8AL.2,Y97E10AL.3,ZK328.7,ZK430.7
GO:1902494	catalytic complex	1.92e-03	1.92e-03	1	C15C6.4,F10C2.4,F53F4.10,W02A11.1,W02B12.10,Y39B6A.36,Y47D3A.29,ZK836.2,C05D11.9,C07H6.2,E01A2.1,F40F4.7,H35B03.2,M57.2,R12C12.1,T28B4.1,W06E11.1,W09C3.4,Y53G8AL.2,Y97E10AL.3,ZK430.7
GO:1902555	endoribonuclease complex	2.14e-02	2.14e-02	1	C15C6.4,C05D11.9,H35B03.2
GO:0030677	ribonuclease P complex	2.14e-02	2.14e-02	1	C15C6.4,C05D11.9,H35B03.2
GO:0000974	Prp19 complex	8.05e-03	8.05e-03	1	F53B7.3,T11G6.8,C50F2.3,M03F8.3,T12A2.7
GO:0031974	membrane-enclosed lumen	2.09e-14	2.09e-14	1	C16C10.2,F10C2.4,F30A10.9,F44G4.1,K01G5.5,K07C5.4,W09C5.1,Y39A1A.14,Y39B6A.3,Y39B6A.33,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48B6A.1,Y53C12B.1,Y53C12B.2,Y54G11A.9,Y75B8A.4,Y75B8A.7,ZC434.4,ZK795.3,B0280.9,C05C8.2,C05D11.9,C34B2.6,C34E10.10,C48B6.2,F13H8.2,F27C1.6,F55F8.3,F56F11.4,F57B10.8,H35B03.2,K12H4.3,T07A9.8,T22H9.1,W06E11.1,W09C3.4,Y23H5B.5,Y48G1A.4,Y54E10A.10,ZK430.7,ZK1127.5
GO:0043226	organelle	1.72e-12	1.72e-12	1	B0024.11,C04F12.8,C11H1.3,C16C10.2,C25A1.5,C34C12.8,C47D12.2,C55A6.10,F08A8.4,F10C2.4,F23B12.7,F25H2.4,F25H8.2,F26A3.1,F27D4.1,F30A10.9,F43G6.5,F44G4.1,F45G2.8,F53B7.3,F53F4.10,F54D5.7,F57F5.1,F59F4.1,H28O16.1,K01G5.5,K07C5.4,K07C5.6,K08E3.5,T11G6.8,T13H5.4,T14D7.1,T15H9.6,T23G11.7,T24B1.1,W01D2.1,W02A11.1,W09C5.1,Y18D10A.3,Y38F1A.6,Y39A1A.14,Y39B6A.3,Y39B6A.33,Y39B6A.36,Y41C4A.9,Y43F4B.5,Y45F10D.7,Y47D3A.29,Y48B6A.1,Y48G10A.3,Y51H4A.15,Y53C12B.1,Y53C12B.2,Y53F4B.13,Y54E5A.5,Y54G11A.9,Y57G11C.3,Y59A8B.8,Y75B8A.4,Y75B8A.7,Y105E8A.3,ZC434.4,ZC506.1,ZK795.3,ZK836.2,ZK1098.1,B0280.9,B0303.3,C05C8.2,C05D11.9,C07H6.2,C28F5.4,C34B2.6,C34E10.10,C37H5.5,C48B6.2,C50F2.3,D2063.1,F13H8.2,F20D6.11,F27C1.6,F33D11.10,F40A3.3,F48E3.8,F55F8.3,F56F11.4,F57B10.8,F58F9.7,F58F12.1,H34C03.2,H35B03.2,K09H11.1,K12H4.3,M03F8.3,R12C12.1,R151.10,T07A9.8,T12A2.7,T15B12.1,T20H4.5,T22H9.1,T24G10.2,W03F9.1,W06E11.1,W09C3.4,Y23H5B.5,Y37E3.8,Y37E3.10,Y48G1A.4,Y53G8AL.2,Y54E10A.10,Y65B4A.6,ZC395.10,ZK328.7,ZK370.4,ZK430.7,ZK1127.5
GO:0043228	non-membrane-bounded organelle	3.80e-13	3.80e-13	1	C04F12.8,C16C10.2,C55A6.10,F10C2.4,F25H2.4,F26A3.1,F30A10.9,F44G4.1,K01G5.5,K07C5.4,K08E3.5,W01D2.1,W09C5.1,Y39A1A.14,Y39B6A.33,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48B6A.1,Y48G10A.3,Y53C12B.1,Y53C12B.2,Y57G11C.3,Y75B8A.7,ZC434.4,ZK795.3,B0280.9,C05C8.2,C05D11.9,C34E10.10,C48B6.2,D2063.1,F13H8.2,F27C1.6,F55F8.3,F57B10.8,H35B03.2,K12H4.3,T07A9.8,T22H9.1,W03F9.1,Y23H5B.5,Y37E3.8,Y37E3.10,Y48G1A.4,Y54E10A.10,ZC395.10,ZK430.7,ZK1127.5
GO:0043227	membrane-bounded organelle	5.42e-11	5.42e-11	1	B0024.11,C16C10.2,C25A1.5,C34C12.8,C47D12.2,F08A8.4,F10C2.4,F23B12.7,F25H8.2,F27D4.1,F30A10.9,F43G6.5,F44G4.1,F45G2.8,F53B7.3,F53F4.10,F54D5.7,F57F5.1,F59F4.1,H28O16.1,K01G5.5,K07C5.4,K07C5.6,K08E3.5,T11G6.8,T13H5.4,T14D7.1,T15H9.6,T23G11.7,T24B1.1,W02A11.1,W09C5.1,Y18D10A.3,Y38F1A.6,Y39A1A.14,Y39B6A.3,Y39B6A.33,Y39B6A.36,Y41C4A.9,Y43F4B.5,Y45F10D.7,Y47D3A.29,Y48B6A.1,Y51H4A.15,Y53C12B.1,Y53C12B.2,Y53F4B.13,Y54E5A.5,Y54G11A.9,Y57G11C.3,Y59A8B.8,Y75B8A.4,Y75B8A.7,Y105E8A.3,ZC434.4,ZC506.1,ZK795.3,ZK836.2,ZK1098.1,B0280.9,B0303.3,C05C8.2,C05D11.9,C07H6.2,C28F5.4,C34B2.6,C34E10.10,C37H5.5,C48B6.2,C50F2.3,F13H8.2,F20D6.11,F27C1.6,F33D11.10,F40A3.3,F48E3.8,F55F8.3,F56F11.4,F57B10.8,F58F9.7,F58F12.1,H34C03.2,H35B03.2,K09H11.1,K12H4.3,M03F8.3,R12C12.1,R151.10,T07A9.8,T12A2.7,T15B12.1,T20H4.5,T22H9.1,T24G10.2,W03F9.1,W06E11.1,W09C3.4,Y23H5B.5,Y48G1A.4,Y53G8AL.2,Y54E10A.10,Y65B4A.6,ZK370.4,ZK430.7,ZK1127.5
GO:0043229	intracellular organelle	3.31e-13	3.31e-13	1	B0024.11,C04F12.8,C11H1.3,C16C10.2,C25A1.5,C34C12.8,C47D12.2,C55A6.10,F08A8.4,F10C2.4,F23B12.7,F25H2.4,F25H8.2,F26A3.1,F27D4.1,F30A10.9,F43G6.5,F44G4.1,F45G2.8,F53B7.3,F53F4.10,F54D5.7,F57F5.1,F59F4.1,H28O16.1,K01G5.5,K07C5.4,K07C5.6,K08E3.5,T11G6.8,T13H5.4,T14D7.1,T15H9.6,T23G11.7,T24B1.1,W01D2.1,W02A11.1,W09C5.1,Y18D10A.3,Y38F1A.6,Y39A1A.14,Y39B6A.3,Y39B6A.33,Y39B6A.36,Y41C4A.9,Y43F4B.5,Y45F10D.7,Y47D3A.29,Y48B6A.1,Y48G10A.3,Y51H4A.15,Y53C12B.1,Y53C12B.2,Y53F4B.13,Y54E5A.5,Y54G11A.9,Y57G11C.3,Y59A8B.8,Y75B8A.4,Y75B8A.7,Y105E8A.3,ZC434.4,ZC506.1,ZK795.3,ZK836.2,ZK1098.1,B0280.9,B0303.3,C05C8.2,C05D11.9,C07H6.2,C28F5.4,C34B2.6,C34E10.10,C37H5.5,C48B6.2,C50F2.3,D2063.1,F13H8.2,F20D6.11,F27C1.6,F33D11.10,F40A3.3,F48E3.8,F55F8.3,F56F11.4,F57B10.8,F58F9.7,F58F12.1,H34C03.2,H35B03.2,K09H11.1,K12H4.3,M03F8.3,R12C12.1,R151.10,T07A9.8,T12A2.7,T15B12.1,T20H4.5,T22H9.1,T24G10.2,W03F9.1,W06E11.1,W09C3.4,Y23H5B.5,Y37E3.8,Y37E3.10,Y48G1A.4,Y53G8AL.2,Y54E10A.10,Y65B4A.6,ZC395.10,ZK370.4,ZK430.7,ZK1127.5
GO:0043232	intracellular non-membrane-bounded organelle	3.80e-13	3.80e-13	1	C04F12.8,C16C10.2,C55A6.10,F10C2.4,F25H2.4,F26A3.1,F30A10.9,F44G4.1,K01G5.5,K07C5.4,K08E3.5,W01D2.1,W09C5.1,Y39A1A.14,Y39B6A.33,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48B6A.1,Y48G10A.3,Y53C12B.1,Y53C12B.2,Y57G11C.3,Y75B8A.7,ZC434.4,ZK795.3,B0280.9,C05C8.2,C05D11.9,C34E10.10,C48B6.2,D2063.1,F13H8.2,F27C1.6,F55F8.3,F57B10.8,H35B03.2,K12H4.3,T07A9.8,T22H9.1,W03F9.1,Y23H5B.5,Y37E3.8,Y37E3.10,Y48G1A.4,Y54E10A.10,ZC395.10,ZK430.7,ZK1127.5
GO:0043231	intracellular membrane-bounded organelle	4.25e-12	4.25e-12	1	B0024.11,C16C10.2,C25A1.5,C34C12.8,C47D12.2,F08A8.4,F10C2.4,F23B12.7,F25H8.2,F27D4.1,F30A10.9,F43G6.5,F44G4.1,F45G2.8,F53B7.3,F53F4.10,F54D5.7,F57F5.1,F59F4.1,H28O16.1,K01G5.5,K07C5.4,K07C5.6,K08E3.5,T11G6.8,T13H5.4,T14D7.1,T15H9.6,T23G11.7,T24B1.1,W02A11.1,W09C5.1,Y18D10A.3,Y38F1A.6,Y39A1A.14,Y39B6A.3,Y39B6A.33,Y39B6A.36,Y41C4A.9,Y43F4B.5,Y45F10D.7,Y47D3A.29,Y48B6A.1,Y51H4A.15,Y53C12B.1,Y53C12B.2,Y53F4B.13,Y54E5A.5,Y54G11A.9,Y57G11C.3,Y59A8B.8,Y75B8A.4,Y75B8A.7,Y105E8A.3,ZC434.4,ZC506.1,ZK795.3,ZK836.2,ZK1098.1,B0280.9,B0303.3,C05C8.2,C05D11.9,C07H6.2,C28F5.4,C34B2.6,C34E10.10,C37H5.5,C48B6.2,C50F2.3,F13H8.2,F20D6.11,F27C1.6,F33D11.10,F40A3.3,F48E3.8,F55F8.3,F56F11.4,F57B10.8,F58F9.7,F58F12.1,H34C03.2,H35B03.2,K09H11.1,K12H4.3,M03F8.3,R12C12.1,R151.10,T07A9.8,T12A2.7,T15B12.1,T20H4.5,T22H9.1,T24G10.2,W03F9.1,W06E11.1,W09C3.4,Y23H5B.5,Y48G1A.4,Y53G8AL.2,Y54E10A.10,Y65B4A.6,ZK370.4,ZK430.7,ZK1127.5
GO:0005634	nucleus	8.94e-15	8.94e-15	1	B0024.11,C16C10.2,F10C2.4,F23B12.7,F25H8.2,F30A10.9,F43G6.5,F44G4.1,F53B7.3,K01G5.5,K07C5.4,K07C5.6,T11G6.8,T13H5.4,T15H9.6,W02A11.1,W09C5.1,Y39A1A.14,Y39B6A.33,Y39B6A.36,Y41C4A.9,Y43F4B.5,Y45F10D.7,Y47D3A.29,Y48B6A.1,Y51H4A.15,Y53C12B.1,Y53C12B.2,Y53F4B.13,Y75B8A.7,ZC434.4,ZK795.3,ZK1098.1,B0280.9,C05C8.2,C05D11.9,C07H6.2,C34E10.10,C37H5.5,C48B6.2,C50F2.3,F13H8.2,F27C1.6,F33D11.10,F55F8.3,F56F11.4,F57B10.8,H34C03.2,H35B03.2,K12H4.3,M03F8.3,T07A9.8,T12A2.7,T22H9.1,T24G10.2,W03F9.1,W06E11.1,W09C3.4,Y23H5B.5,Y48G1A.4,Y54E10A.10,Y65B4A.6,ZK430.7,ZK1127.5
GO:0044422	organelle part	2.55e-10	2.55e-10	1	C04F12.8,C16C10.2,C55A6.10,F10C2.4,F25H2.4,F30A10.9,F44G4.1,F45G2.8,F53B7.3,F53F4.10,K01G5.5,K07C5.4,K07C5.6,K08E3.5,T11G6.8,T13H5.4,T24B1.1,W01D2.1,W09C5.1,Y39A1A.14,Y39B6A.3,Y39B6A.33,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48B6A.1,Y48G10A.3,Y53C12B.1,Y53C12B.2,Y54G11A.9,Y57G11C.3,Y59A8B.8,Y75B8A.4,Y75B8A.7,ZC434.4,ZK795.3,B0280.9,C05C8.2,C05D11.9,C34B2.6,C34E10.10,C48B6.2,C50F2.3,D2063.1,F13H8.2,F20D6.11,F27C1.6,F33D11.10,F55F8.3,F56F11.4,F57B10.8,F58F12.1,H35B03.2,K12H4.3,M03F8.3,T07A9.8,T12A2.7,T22H9.1,W03F9.1,W06E11.1,W09C3.4,Y23H5B.5,Y37E3.8,Y48G1A.4,Y53G8AL.2,Y54E10A.10,Y65B4A.6,ZK430.7,ZK1127.5
GO:0043233	organelle lumen	2.12e-15	2.12e-15	1	C16C10.2,F10C2.4,F30A10.9,F44G4.1,K01G5.5,K07C5.4,W09C5.1,Y39A1A.14,Y39B6A.3,Y39B6A.33,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48B6A.1,Y53C12B.1,Y53C12B.2,Y54G11A.9,Y75B8A.4,Y75B8A.7,ZC434.4,ZK795.3,B0280.9,C05C8.2,C05D11.9,C34B2.6,C34E10.10,C48B6.2,F13H8.2,F27C1.6,F55F8.3,F56F11.4,F57B10.8,H35B03.2,K12H4.3,T07A9.8,T22H9.1,W06E11.1,W09C3.4,Y23H5B.5,Y48G1A.4,Y54E10A.10,ZK430.7,ZK1127.5
GO:0044446	intracellular organelle part	2.58e-11	2.58e-11	1	C04F12.8,C16C10.2,F10C2.4,F30A10.9,F44G4.1,F45G2.8,F53B7.3,F53F4.10,K01G5.5,K07C5.4,K07C5.6,T11G6.8,T13H5.4,T24B1.1,W01D2.1,W09C5.1,Y39A1A.14,Y39B6A.3,Y39B6A.33,Y39B6A.36,Y41C4A.9,Y45F10D.7,Y47D3A.29,Y48B6A.1,Y53C12B.1,Y53C12B.2,Y54G11A.9,Y59A8B.8,Y75B8A.4,Y75B8A.7,ZC434.4,ZK795.3,B0280.9,C05C8.2,C05D11.9,C34B2.6,C34E10.10,C48B6.2,C50F2.3,F13H8.2,F20D6.11,F27C1.6,F33D11.10,F55F8.3,F56F11.4,F57B10.8,F58F12.1,H35B03.2,K12H4.3,M03F8.3,T07A9.8,T12A2.7,T22H9.1,W06E11.1,W09C3.4,Y23H5B.5,Y37E3.8,Y48G1A.4,Y53G8AL.2,Y54E10A.10,Y65B4A.6,ZK430.7,ZK1127.5
