human	elegans
P55084	P34255
P55107	G5EBY8
P55145	Q9N3B0
P55196	Q9BIC1
P55197	P34447
P55209	Q19007
P55263	Q93934
P55327	P55326
P55735	Q9N4A7
P55769	Q21568
P55786	Q4TT88
P55789	O44975
P55809	Q09450
P55822	K8ES47
P55884	Q9XWI6
P56178	Q18273
P56180	P91301
P56182	Q18674
P56192	Q20970
P56211	Q9XU56
P56282	Q19196
P56377	O16369
P56524	O17323
P56537	O62106
P56556	O18236
P56557	Q9N2X7
P56589	Q18028
P56597	Q21753
P56705	P34888
P57081	Q23232
P57088	Q9XWV0
P57103	H2KYP2
P57723	Q95Y67
P57737	K8ESK9
P57772	O62108
P58004	Q9N4D6
P58304	P41935
P58546	Q18587
P58658	Q9XU98
P58872	Q19821
P58876	Q27876
P59282	P91127
P59780	Q8T874
P59998	P58798
P60002	Q9XVZ8
P60033	Q19983
P60059	Q19967
P60174	Q10657
P60228	O61820
P60468	Q95XS2
P60510	Q9XW79
P60602	Q93511
P60604	Q9U1Q1
P60709	P10984
P60866	Q8WQA8
P60880	A5PEW5
P60891	Q6AHR3
P60900	O17586
P60953	Q05062
P60983	Q8IAA5
P61009	P34525
P61011	G5EE80
P61019	O01577
P61024	Q17868
P61026	Q94148
P61086	Q9TZ69
P61088	Q95XX0
P61106	Q93874
P61158	Q9N4I0
P61160	P53489
P61163	Q9NA98
P61165	Q965T1
P61201	O01422
P61218	Q17684
P61221	Q9U2K8
P61224	Q18246
P61244	G5EEH5
P61247	P48154
P61254	Q19869
P61289	Q95PZ7
P61313	P91374
P61353	P91914
P61421	Q95YD5
P61457	Q9TZH6
P61513	Q9U2A8
P61586	Q22038
P61599	Q965S3
P61604	Q965Q1
P61758	O18054
P61764	P34815
P61803	P52872
P61923	O17901
P61927	O62388
P61960	P34661
P61962	Q93759
P61964	Q17963
P61968	O44949
P61970	Q21735
P61978	P91277
P62068	P34547
P62070	G5EBK8
P62072	Q9Y0V6
P62079	Q22495
P62081	Q23312
P62136	P48727
P62140	Q27497
P62158	O16305
P62166	P36608
P62191	O16368
P62195	Q9XTT9
P62241	P48156
P62244	O17218
P62249	Q22054
P62253	P34477
P62256	Q9N2W9
P62263	P48150
P62266	Q19877
P62269	O18240
P62273	P90983
P62277	P51404
P62280	Q20206
P62304	Q9XTU6
P62306	P34659
P62308	Q9N4G9
P62310	Q9U1W8
P62312	Q95XN6
P62314	Q10013
P62316	Q18786
P62318	Q17348
P62330	Q9U2S4
P62333	O17071
P62341	Q9U3N5
P62424	Q966C6
P62487	Q9N3C9
P62491	O01803
P62495	O16520
P62633	Q966I7
P62701	Q9N3X2
P62714	G5EGK8
P62750	Q20647
P62753	Q9NEN6
P62805	P62784
P62820	Q9UAQ6
P62826	O17915
P62829	P48158
P62837	P35129
P62841	Q9XVP0
P62847	Q1XFY9
P62851	P52821
P62854	O45499
P62857	Q95Y04
P62873	P17343
P62875	Q9GR61
P62877	Q23457
P62888	Q9XWS4
P62891	P52814
P62899	Q9U332
P62906	Q9N4I4
P62910	Q22716
P62913	Q19162
P62917	Q9XVF7
P62937	P52009
P62942	Q9U2Q8
P62952	G5EE03
P62979	P37165
P62987	P49632
P62993	P29355
P62995	Q9XTZ2
P63000	Q03206
P63098	G5EDN6
P63104	Q20655
P63151	G5EDR3
P63165	P55853
P63172	Q19416
P63173	O17570
P63208	G5ECU1
P63220	P49197
P63241	Q20751
P63244	Q21215
P63272	Q9TZ93
P63279	Q95017
P67809	G5EDV3
P67812	Q9N3D0
P67870	P28548
P68036	Q21633
P68371	P41937
P68400	P18334
P68431	P08898
P69849	H2KYE0
P78316	Q9N3Q9
P78318	Q9N4E9
P78330	Q9U1W7
P78363	Q1RS86
P78368	Q8WQ99
P78371	P47207
P78383	Q9BHL2
P78396	P34638
P78406	Q93454
P78415	Q93348
P78417	O45352
P78426	G5EGE2
P78536	Q94316
P78537	Q22616
P78549	P54137
P78563	Q22618
P80303	Q8MQ51
P80370	Q21756
P80404	Q21217
P81274	H2KZ12
P82279	Q19350
P82650	Q9U3Q0
P82663	Q9N361
P82664	Q9XWV5
P82673	Q9NEI6
P82675	Q93425
P82912	Q23155
P82921	Q9GYI2
P82930	Q21601
P82932	O61791
P82933	P34388
P82979	Q9N3G0
P83111	O62481
P83731	O01868
P83876	L8E6I4
P84077	Q10943
P84085	G5EFK4
P84090	Q22640
P84098	O02639
P84101	Q9BKU8
P84157	Q17677
P84243	Q10453
P86791	Q9XVL8
P98073	Q17800
P98155	Q7JP80
P98160	Q06561
P98164	Q04833
P98174	G5ED03
P98194	G5EDU1
P98198	Q9TXV2
P99999	P19974
Q00059	Q94234
Q00325	P40614
Q00341	Q17832
Q00403	O16991
Q00532	E1NZ10
Q00535	G5ECH7
Q00537	Q95QX1
Q00577	Q94230
Q00610	P34574
Q00765	Q9N4G8
Q00796	Q21702
Q01081	Q9U2U0
Q01082	E0AHA7
Q01105	Q18240
Q01130	Q09511
Q01415	O01969
Q01433	H2KZ19
Q01484	Q17490
Q01518	O02096
Q01650	Q19834
Q01658	O45550
Q01664	P34474
Q01668	Q8MQA1
Q01780	G5EBX6
Q01974	G5EGK5
Q02040	Q95YE8
Q02083	Q9GUI1
Q02094	Q22947
Q02127	O01815
Q02156	P34885
Q02218	O61199
Q02241	Q8MQ04
Q02252	P52713
Q02543	O44480
Q02575	Q18590
Q02742	G5EDP7
Q02790	O45418
Q02878	P47991
Q02978	P90992
Q03112	Q22024
Q03113	Q19572
Q03135	Q94051
Q03154	Q17900
Q03252	P90901
Q03393	O02058
Q03426	Q65XX9
Q03701	Q19753
Q03933	G5EFT5
Q04446	Q22137
Q04609	P91406
Q04656	G5EE14
Q04727	O02482
Q04837	P34496
Q05048	Q19864
Q05066	Q20201
Q05084	P91124
Q05193	P39055
Q05397	Q95YD4
Q05469	Q966P1
Q05586	G5EGQ9
Q05639	P53013
Q05655	P34722
Q05932	Q09509
Q05940	Q9GNP0
Q05DH4	Q11187
Q06203	Q22134
Q06210	Q19699
Q06265	Q20128
Q06330	G5EDU7
Q06520	Q9U2Z2
Q06609	Q95Q25
Q06889	Q18250
Q07020	O45946
Q07021	Q21018
Q07837	O45298
Q07864	O62218
Q07866	P46822
Q07889	Q9N5D3
Q07912	Q10925
Q07955	Q9NEW6
Q07960	Q23130
Q07973	Q09660
Q08209	Q0G819
Q08211	Q22307
Q08257	O45496
Q08289	O01661
Q08379	Q19989
Q08629	H2KZF8
Q08945	P41848
Q08999	G5EDT1
Q08AD1	Q966J8
Q08AM6	Q21225
Q08J23	Q9BL15
Q09028	P90916
Q09161	O01763
Q09328	Q9NDH7
Q09472	P34545
Q0JRZ9	Q9TXS0
Q0P651	Q18852
Q0P6D2	H2KZF0
Q0VAM2	Q21758
Q0VF96	P10567
Q10469	O17560
Q10471	Q8I136
Q10472	P34678
Q10567	Q9N4F3
Q10570	Q9N4C2
Q10713	Q95XN2
Q10981	O61739
Q11128	G5EDR5
Q11130	G5EE06
Q12756	P23678
Q12767	O01863
Q12768	O01858
Q12770	Q18968
Q12788	O18215
Q12791	Q95V25
Q12797	A8WHT8
Q12824	Q21831
Q12830	Q6BER5
Q12872	Q10580
Q12873	Q22516
Q12874	Q22469
Q12879	G5EEH3
Q12882	Q18164
Q12884	Q18253
Q12887	K8ES01
Q12888	Q7JKP6
Q12893	Q9U3K1
Q12894	Q20965
Q12905	O62349
Q12907	Q22170
Q12931	Q2L6Y6
Q12950	Q18694
Q12959	G5ECY0
Q12965	Q19901
Q12967	Q19852
Q12972	O61817
Q12980	Q20069
Q12981	C0Z1Y7
Q12983	Q09969
Q12986	Q18034
Q12996	Q19866
Q13011	Q9TYL2
Q13033	G5EE12
Q13042	G5EG38
Q13045	P34268
Q13057	Q9BL56
Q13084	O76606
Q13085	H2L0M0
Q13098	Q9GS00
Q13099	G5ED37
Q13107	Q9TYY8
Q13112	Q95XL8
Q13114	Q9N586
Q13123	Q9N4U5
Q13136	Q21049
Q13144	Q18994
Q13148	D0VWM8
Q13153	Q17850
Q13185	G5EET5
Q13188	Q9NB31
Q13190	Q20797
Q13200	Q9GZH5
Q13202	Q10038
Q13203	Q9XXD7
Q13206	Q9N478
Q13217	P91189
Q13228	Q9XXF9
Q13231	Q11174
Q13241	Q1ZXU1
Q13247	Q23121
Q13255	G5EG10
Q13257	Q9NGT3
Q13286	G5EBM4
Q13309	Q09397
Q13310	Q19579
Q13330	O61907
Q13332	Q9BMN8
Q13347	Q965S8
Q13356	P52012
Q13367	O45718
Q13371	Q9U1X7
Q13393	G5EDU3
Q13394	Q20054
Q13395	Q22484
Q13404	O45495
Q13405	Q21939
Q13409	O45087
Q13415	Q9XX17
Q13416	Q21037
Q13418	Q9TZC4
Q13423	Q18031
Q13427	P52016
Q13435	O16997
Q13449	C6KRM7
Q13454	P34669
Q13461	Q22510
Q13464	P92199
Q13467	G5ECQ2
Q13472	O61660
Q13485	P45897
Q13492	Q9XZI6
Q13496	Q9N589
Q13503	Q6BER6
Q13505	O45503
Q13506	Q22002
Q13510	O45686
Q13523	Q19727
Q13526	Q9N492
Q13547	O17695
Q13554	O62305
Q13561	Q09248
Q13564	Q18217
Q13573	Q22836
Q13574	Q10024
Q13586	G5EF60
Q13601	O16311
Q13608	G5EFR8
Q13610	Q9NAQ2
Q13615	Q22712
Q13616	Q17389
Q13617	Q17390
Q13618	Q17391
Q13627	Q8WQL7
Q13630	G5EER4
Q13635	Q09614
Q13637	G5EBF0
Q13641	Q93177
Q13685	E0R7L2
Q13686	E0DBL0
Q13702	Q09485
Q13724	Q19426
Q13765	Q86S66
Q13769	C2BR94
Q13795	Q9N3C8
Q13813	Q21408
Q13822	P90754
Q13823	Q9XXN4
Q13825	O45106
Q13868	Q95XD0
Q13884	Q93646
Q13886	O62259
Q13888	P34567
Q13889	Q09645
Q13895	Q20932
Q13901	Q9N3J4
Q13907	G5EFQ1
Q13950	G5EFQ5
Q13976	O76360
Q14008	G5EEM5
Q14012	Q9TXJ0
Q14061	Q9TZ68
Q14094	H2KZJ3
Q14106	G5EDX7
Q14108	Q9XTT3
Q14112	Q93791
Q14117	Q18677
Q14118	Q22629
Q14137	Q9U2A9
Q14147	Q9N437
Q14152	P34339
Q14156	Q09263
Q14157	O61708
Q14160	O61967
Q14165	Q95QG1
Q14166	Q09512
Q14181	Q21625
Q14185	G5EEN3
Q14191	Q19546
Q14197	Q95QC2
Q14203	E2JKZ0
Q14204	Q19020
Q14232	P34604
Q14240	P27639
Q14241	Q09413
Q14249	Q95NM6
Q14320	Q18691
Q14331	O18282
Q14376	Q564Q1
Q14409	Q21944
Q14457	Q22592
Q14494	P34707
Q14498	Q9N368
Q14500	D3YT08
Q14517	Q19319
Q14562	Q09530
Q14566	P34647
Q14576	Q20084
Q14642	Q17848
Q14643	Q9Y0A1
Q14644	Q22720
Q14667	O62191
Q14671	Q23191
Q14677	Q18453
Q14680	A7WK47
Q14683	O01789
Q14690	Q18038
Q14691	Q22019
Q14696	Q8IG33
Q14697	Q20239
Q14728	Q19296
Q14738	A9UJN4
Q14746	Q21444
Q14814	Q9U325
Q14832	Q09630
Q14839	G5EBZ4
Q14847	P34416
Q14849	Q19819
Q14974	Q9BIB8
Q14978	Q9XVS4
Q14995	Q9XUK7
Q14997	Q17971
Q149N8	H2L0J8
Q14BN4	Q8ITW1
Q14C86	Q9GYH7
Q14CX5	H2KZ27
Q14CX7	Q21986
Q14D04	O17237
Q15005	Q9XWW1
Q15006	O76630
Q15008	Q20585
Q15020	Q17430
Q15021	Q9U2M1
Q15024	G5EDS8
Q15029	Q23463
Q15031	Q23511
Q15034	Q9BL11
Q15036	Q19532
Q15042	Q93538
Q15043	Q65XW9
Q15046	Q22099
Q15050	Q9XVT0
Q15052	Q21430
Q15057	Q9XXH8
Q15067	Q93839
Q15070	O02207
Q15075	G5ED80
Q15084	Q11067
Q15111	Q8IA75
Q15113	O61901
Q15119	Q02332
Q15126	I2HAD9
Q15147	G5EBH0
Q15165	Q966L1
Q15181	Q18680
Q15185	Q23280
Q15257	Q9BL35
Q15269	P91341
Q15286	Q9U2C3
Q15287	Q21155
Q15291	Q09309
Q15311	Q9XVI0
Q15319	P13528
Q15329	G5EF11
Q15363	O17528
Q15369	Q9BKS1
Q15370	G5ECR7
Q15375	O61460
Q15382	P34443
Q15386	O17736
Q15388	Q19766
Q15392	O17397
Q15393	O44985
Q15397	Q09622
Q15404	Q09497
Q15406	Q9U2R6
Q15418	Q21734
Q15427	Q09442
Q15435	P45969
Q15436	Q9U2Z1
Q15459	G5ECL3
Q15475	Q94166
Q15477	Q19103
Q15506	Q20199
Q15526	Q9N5N8
Q15528	Q23679
Q15532	Q9N4L9
Q15542	G5EF68
Q15543	Q17957
Q15544	Q20563
Q15545	Q9NEW8
Q15546	H2KZF3
Q15629	Q9XXK7
Q15637	G5EF97
Q15643	D0Z5P0
Q15645	Q09535
Q15650	G5EDK1
Q15654	H2L2F7
Q15691	Q9GRZ1
Q15750	G5EEM6
Q15768	Q9U3M2
Q15771	Q9XWZ3
Q15773	Q9XXH7
Q15777	Q22306
Q15797	Q02330
Q15811	Q9U2T9
Q15813	Q20068
Q15814	Q3V5J2
Q15828	G5ECM9
Q15831	Q9GN62
Q15843	Q93725
Q15906	Q93230
Q15910	O17514
Q15911	O45019
Q16134	Q11190
Q16181	Q9U334
Q16186	Q09289
Q16204	Q09350
Q16222	Q18493
Q16401	Q20058
Q16513	G5EGE3
Q16531	Q21554
Q16533	Q17694
Q16537	O18178
Q16539	Q17446
Q16540	Q9GYS9
Q16543	O02108
Q16585	Q9TZ49
Q16586	H2L0C3
Q16620	G4RZJ9
Q16623	O16000
Q16629	Q18409
Q16630	C1P629
Q16635	Q23598
Q16637	G5EC16
Q16643	Q9XUT0
Q16644	H2KZB0
Q16698	Q93761
Q16706	Q2PJ74
Q16718	Q18359
Q16719	Q18026
Q16720	Q95XP5
Q16739	Q21054
Q16740	Q27539
Q16760	H2KZC9
Q16762	G5EEV0
Q16774	P91425
Q16775	Q9XXJ1
Q16795	Q9N3H3
Q16798	Q9U296
Q16822	O02286
Q16829	O44128
Q16832	Q95ZV7
Q16836	P41938
Q16849	G5EGJ5
Q16851	Q9XUS5
Q16864	Q23680
Q16878	Q20893
Q16880	Q20086
Q16881	Q17745
Q16891	Q22505
Q17R31	P90989
Q17R89	C5NU64
Q1EHB4	Q23616
Q1HG43	P34298
Q2KHT3	P46578
Q2KJY2	Q21441
Q2LD37	Q8WTL7
Q2M1V0	Q9N4L2
Q2M389	Q9NA99
Q2NKQ1	I2HAA0
Q2NL82	Q19329
Q2PZI1	P34413
Q2Q1W2	Q9U489
Q2TAA5	P53993
Q2TAC6	H2KYL6
Q2TAY7	G5EEG7
Q2TBE0	Q10946
Q2V2M9	G5EFZ9
Q2VPK5	Q19906
Q2YD98	Q23088
Q32NB8	Q9BL79
Q32P41	A8WHT1
Q32ZL2	Q22250
Q330K2	Q17477
Q38SD2	Q9TZM3
Q3KRA9	Q17527
Q3LXA3	Q9N5C4
Q3MHD2	Q21541
Q3MII6	O18207
Q3MIT2	Q9U287
Q3SXY8	H2L0N8
Q3SXZ7	Q564U4
Q3SY69	G5ECV9
Q3SY77	Q965X5
Q3SYC2	Q23067
Q3SYG4	O01514
Q3V6T2	F3Y5P4
Q3YEC7	Q19210
Q3ZAQ7	A5JYQ9
Q3ZCQ8	Q22647
Q3ZCX4	Q9N360
Q495C1	Q8MYP1
Q49B96	Q95ZT5
Q4ADV7	Q09417
Q4G0F5	O01258
Q4G0N4	Q9XXI5
Q4G176	O16481
Q4L235	B6VQ94
Q4LE39	G4SB35
Q4U2R6	Q22438
Q4V328	Q20298
Q4ZIN3	Q9TZC7
Q4ZJI4	Q9XU88
Q504Q3	P53015
Q52LA3	Q10120
Q52LR7	G5EC14
Q52LW3	G5EF80
Q52WX2	Q11090
Q53EP0	G5EF49
Q53EU6	Q9N5S8
Q53F39	Q95X35
Q53FT3	K8ERU5
Q53GQ0	Q09517
Q53GS9	O44787
Q53H12	Q10123
Q53H54	Q20240
Q53H80	Q966L3
Q53H82	Q95Q18
Q53HC0	Q9TZ50
Q53HC9	Q9U1Q0
Q53HI1	Q10045
Q53S33	Q9NEY7
Q562E7	Q10122
Q567U6	H2KYD0
Q567V2	Q23508
Q56NI9	Q19206
Q587I9	G5EDD5
Q58A45	P34653
Q58G82	P90785
Q59H18	H2KYY2
Q5BJD5	O62126
Q5BKT4	O02332
Q5BKX5	P90910
Q5C9Z4	Q9U255
Q5EBL4	G5EFB9
Q5F1R6	O62360
Q5FYA8	Q18924
Q5FYB0	H2KZF6
Q5GFL6	Q9GZF5
Q5GH73	O17386
Q5H8A4	Q19870
Q5HYA8	Q20046
Q5HYI8	D0FK02
Q5HYJ3	O44772
Q5HYK3	P34666
Q5HYK7	P34258
Q5J8M3	Q9N4N3
Q5JPH6	O44413
Q5JSH3	G5EEV4
Q5JTH9	Q965N8
Q5JU85	Q94287
Q5JUK3	H9G2R4
Q5JVF3	Q95QU0
Q5JVL4	Q9XWW8
Q5JW98	Q18593
Q5JWR5	Q9XW10
Q5NDL2	Q9XTX0
Q5QJ74	H2KYZ5
Q5QJU3	O45145
Q5R3I4	Q9XW01
Q5SQI0	Q23192
Q5SQS7	K8ESG0
Q5SRE7	Q9NAM7
Q5SWX8	Q8I7F8
Q5SXM8	Q9TXQ4
Q5SZQ8	G5EE68
Q5T011	O62263
Q5T013	Q11185
Q5T0T0	Q18997
Q5T160	Q18316
Q5T197	O16382
Q5T1A1	Q17461
Q5T1Q4	G4SSQ1
Q5T280	Q10950
Q5T2L2	P91021
Q5T2R2	P91093
Q5T2T1	Q95XW5
Q5T440	G5EE11
Q5T4D3	Q20144
Q5T4F7	Q9GUF5
Q5T4S7	O01808
Q5T5C0	Q8T3B2
Q5T653	O45110
Q5T6J7	O61968
Q5T6V5	O45069
Q5T7N3	G5EDN8
Q5T9A4	Q20748
Q5T9C2	Q86GI2
Q5T9L3	Q7YWX7
Q5TA45	Q9U3K2
Q5TA50	A7DT41
Q5TAP6	P91280
Q5TBB1	Q19684
Q5TBK1	Q19804
Q5TC63	Q09445
Q5TC82	O45962
Q5TCX8	Q8T7Z0
Q5TEU4	Q9NAP7
Q5TGI0	Q9NA74
Q5TGY1	Q20035
Q5TGZ0	Q9N4K0
Q5THJ4	Q18183
Q5TKA1	P30630
Q5TZA2	H2L0I2
Q5U3C3	A6ZJ73
Q5VIR6	P34561
Q5VST6	Q21221
Q5VT25	O01583
Q5VT66	O44517
Q5VTD9	O62425
Q5VTQ0	Q09266
Q5VTR2	P34537
Q5VTY9	G5EFT7
Q5VU57	Q09296
Q5VUM1	Q8MQG6
Q5VUY0	Q7JMM5
Q5VV42	Q8MXQ7
Q5VV63	Q19981
Q5VW32	Q22885
Q5VWG9	E9P861
Q5VWP2	H2KZ00
Q5VWQ0	Q9GRZ3
Q5VXM1	Q19226
Q5VXU3	Q23203
Q5VYK3	Q18983
Q5VYS8	Q09409
Q5VYV0	P34683
Q5VZ03	P91468
Q5VZ66	G5EDI1
Q5VZE5	O17003
Q5VZK9	Q21301
Q5W111	Q19577
Q5XG99	A5JYU6
Q5XUX1	Q22071
Q63HM1	Q18974
Q63HM9	Q20177
Q63HQ2	Q22574
Q658Y4	O62219
Q676U5	Q19124
Q67FW5	Q19421
Q68CP9	Q09441
Q68CQ4	Q9U2I4
Q68CZ1	Q09459
Q68D91	Q17596
Q68DH5	Q18695
Q68DU8	A0PD34
Q68DX3	Q9N531
Q68E01	Q9BKW6
Q69YN2	O16216
Q6BDS2	G5EE16
Q6DHV7	Q8IG39
Q6DKK2	Q9XW00
Q6DN14	E9P851
Q6DWJ6	Q17478
Q6FIF0	Q19723
Q6GMR7	Q9NAB7
Q6GMV3	A7WK43
Q6GQQ9	Q9N4T5
Q6GYQ0	Q9BL92
Q6HA08	P55112
Q6I9Y2	Q9U3S3
Q6IA69	Q9XXK6
Q6IA86	Q9NEW7
Q6IAN0	Q65ZI3
Q6IBS0	Q20173
Q6IBW4	P34341
Q6IC98	Q60F73
Q6ICG6	Q18046
Q6ICL3	Q22009
Q6IN84	Q9XWY8
Q6IN85	H2KYN6
Q6IPR1	Q7YWR3
Q6IQ20	Q965X7
Q6IQ26	Q18780
Q6IQ49	G5EC45
Q6IQ55	Q22033
Q6IWH7	G5EBW3
Q6J4K2	P34322
Q6JQN1	O01590
Q6KC79	Q95XZ5
Q6KCM7	Q20799
Q6N075	Q9N3A9
Q6NT16	H2KYF2
Q6NT76	Q9TYT0
Q6NUI6	Q22187
Q6NUP7	G5EGI8
Q6NUT3	Q19498
Q6NVY1	Q19278
Q6NW40	G5EDE5
Q6NXG1	Q22708
Q6NXT4	Q45EL5
Q6NXT6	Q9U3H8
Q6NYC1	Q9GYI4
Q6P0Q8	H9G328
Q6P161	O17839
Q6P1A2	O01925
Q6P1J9	Q9N5U5
Q6P1M0	Q19878
Q6P1N0	Q9U2M8
Q6P1N9	G5EG18
Q6P1Q9	Q2MDF2
Q6P1R4	Q9XVN8
Q6P1S2	O62198
Q6P1X5	Q9TYN3
Q6P1X6	Q564X7
Q6P2E9	Q8ITV6
Q6P2H8	Q9TZH8
Q6P2Q9	P34369
Q6P3X3	P41842
Q6P4F2	Q9NA32
Q6P4H8	Q9XX11
Q6P587	P34673
Q6P5S7	Q20589
Q6P6B7	Q23595
Q6P996	B1Q254
Q6P9B9	Q9U267
Q6PD62	Q03560
Q6PGP7	Q9BKR2
Q6PHW0	P34273
Q6PI26	Q9TYM6
Q6PI48	P90831
Q6PI78	Q95QS6
Q6PID8	Q95PZ3
Q6PIF6	P91443
Q6PIU2	Q9XWL5
Q6PIW4	O16299
Q6PIY7	Q09408
Q6PJT7	Q95XU6
Q6PL18	P54816
Q6PML9	Q3V5J4
Q6PUV4	Q9GUM7
Q6QEF8	Q21624
Q6QHC5	G5EC63
Q6QNY1	Q95XD3
Q6R327	G5EFN2
Q6RFH5	O45757
Q6S545	G5EFS1
Q6STE5	Q09646
Q6SZW1	Q86DA5
Q6TCH7	Q9U1V1
Q6UUV9	Q95XA8
Q6UWP7	O16526
Q6UWR7	Q22129
Q6UX04	Q9XXI7
Q6UX65	Q93319
Q6UX98	O62144
Q6UXB4	Q21146
Q6UXD7	Q11073
Q6UXM1	Q965M2
Q6UXN9	Q18403
Q6UXS9	G5EBM1
Q6VAB6	G5EFD2
Q6VN20	Q9XWK4
Q6VY07	Q95QA3
Q6WCQ1	G5EE23
Q6XQN6	Q95XX1
Q6XZF7	G5ECK4
Q6Y1H2	O17040
Q6Y288	O01878
Q6Y7W6	Q09482
Q6YHK3	Q7YTU0
Q6YN16	Q09979
Q6YP21	Q8MP09
Q6ZMI0	O61853
Q6ZMI3	G5EBT7
Q6ZN16	Q21029
Q6ZN17	P92186
Q6ZN54	O01738
Q6ZNA4	Q9XUM8
Q6ZNA5	Q17661
Q6ZNB7	O17554
Q6ZNC8	G5EC53
Q6ZNF0	H2FLJ4
Q6ZNW5	Q5ZR76
Q6ZP29	Q95XZ6
Q6ZR37	H2L0P5
Q6ZRF8	Q20548
Q6ZRR7	O16524
Q6ZRY4	G5ECJ4
Q6ZS86	H2KZG4
Q6ZSS7	Q95Y88
Q6ZT07	G5EBE2
Q6ZT12	Q1W0R7
Q6ZT21	Q09320
Q6ZUK4	Q65XY1
Q6ZUS6	Q93635
Q6ZV29	Q02331
Q6ZV89	H2L092
Q6ZVD8	Q09564
Q6ZVM7	Q95QX5
Q6ZW49	Q9U370
Q6ZW76	Q9U2L2
Q6ZWH5	P84199
Q6ZWL3	G5EGT6
Q6ZYL4	Q9N390
Q70CQ3	Q9BKQ6
Q70E73	P34400
Q70HW3	Q18934
Q70Z53	B5BM26
Q712K3	Q95XN7
Q71DI3	K7ZUH9
Q71U36	P91910
Q765P7	Q95Y95
Q76N89	G5EEJ0
Q7KZ85	P34703
Q7KZF4	Q19328
Q7KZN9	Q22251
Q7L014	Q965K2
Q7L1T6	Q9XWF1
Q7L2H7	Q94261
Q7L3T8	O45869
Q7L4I2	P34594
Q7L523	Q22743
Q7L576	O44518
Q7L590	Q9U2C2
Q7L592	Q09644
Q7L5A8	Q9XVS0
Q7L5D6	Q19824
Q7L5N1	Q95PZ0
Q7L5Y9	O18188
Q7L7X3	P46549
Q7L8J4	Q21194
Q7L8W6	Q966L4
Q7LBR1	Q9TXI3
Q7LG56	P42170
Q7LGA3	O17645
Q7RTM1	Q95QL0
Q7RTS9	Q18668
Q7RTU7	Q11094
Q7RTV0	G5EBY6
Q7RTX9	H2L0E6
Q7RTY0	O17328
Q7Z2H8	O45936
Q7Z2K6	Q09216
Q7Z2W9	Q6A575
Q7Z2Y5	Q23356
Q7Z2Z2	O17944
Q7Z392	P90984
Q7Z3B4	Q9U3B9
Q7Z3C6	Q9TXN6
Q7Z3E2	Q8I0Z1
Q7Z3J2	Q19833
Q7Z3T8	H2KZI9
Q7Z3U7	Q19338
Q7Z3V4	Q9XXE6
Q7Z401	Q9TXV4
Q7Z460	Q95YF0
Q7Z4G4	Q9N4H1
Q7Z4H3	E1B6Q7
Q7Z4I7	P50464
Q7Z4L5	Q20255
Q7Z4N2	Q93971
Q7Z4S6	G5EGS3
Q7Z4W1	Q21929
Q7Z569	Q95QN6
Q7Z5B4	Q22472
Q7Z5G4	Q9U204
Q7Z5K2	H2L0H5
Q7Z5L0	Q9N2S5
Q7Z5L9	P92004
Q7Z5M5	D3KZG3
Q7Z5N4	Q9N3X8
Q7Z5S9	Q10000
Q7Z695	Q9N534
Q7Z6E9	O62235
Q7Z6G8	Q93203
Q7Z6J8	Q2AAC0
Q7Z6L1	Q22088
Q7Z6M4	Q7YTL5
Q7Z6V5	Q95QD6
Q7Z6Z7	Q9GUP2
Q7Z7A3	O76365
Q7Z7B1	D6RYD7
Q7Z7E8	Q93571
Q7Z7F7	Q9TYJ8
Q7Z7H8	Q21083
Q7Z7J7	Q9XVU1
Q7Z7K0	Q19093
Q7Z7L7	Q2WF59
Q86SF2	O61397
Q86SG6	Q6AW07
Q86SQ9	Q5FC21
Q86SR1	O45947
Q86SX6	Q9XTU9
Q86SZ2	Q9XU81
Q86T03	Q9BL29
Q86TA1	Q9UAX1
Q86TB9	Q20374
Q86TI2	H2KZK7
Q86TJ2	Q19953
Q86TL0	Q9U1N6
Q86TM6	Q20798
Q86TU7	Q9BL48
Q86TV6	H2KYB6
Q86TW2	O17735
Q86TX2	Q9GYN3
Q86U10	Q9U3P0
Q86U28	Q9XVZ9
Q86U42	Q93233
Q86U70	Q9U3E2
Q86U86	G5EEY5
Q86U90	Q9NAF8
Q86UA1	Q22961
Q86UB9	Q95QD1
Q86UD0	F5GU62
Q86UE8	P34314
Q86UL3	Q21812
Q86UN3	Q9N5D7
Q86UR5	Q22366
Q86US8	Q9BL68
Q86UV5	G5ECC7
Q86UV6	Q95X87
Q86UW1	Q9XU63
Q86UY6	Q95X11
Q86V21	Q21166
Q86V24	Q94177
Q86V81	O62183
Q86V85	Q22162
Q86V86	Q20443
Q86VD7	Q93717
Q86VN1	Q19519
Q86VP6	G5ED41
Q86VU5	Q965W4
Q86VW0	Q20833
Q86VX9	Q9BI89
Q86W33	Q18936
Q86W50	Q09357
Q86W92	Q94071
Q86WA6	Q9TZ58
Q86WA8	Q9XW87
Q86WB7	Q93380
Q86WC4	Q09322
Q86WG5	Q9TXP3
Q86WK9	Q94276
Q86WR0	Q9XW03
Q86WU2	Q8I4K2
Q86WW8	Q9XW18
Q86X10	H9G2Q2
Q86X19	Q23481
Q86X52	G5EGA1
Q86X67	Q19427
Q86X76	O76463
Q86X95	G5EBE3
Q86XE3	Q18874
Q86XI6	H2KYT5
Q86XK2	Q94251
Q86XP3	Q93382
Q86XT4	O16683
