IDA	IDB	Class
B0205.3	E01H11.1	negative
B0205.3	E02A10.1	negative
B0205.3	E02H1.8	negative
B0205.3	E04A4.5	negative
B0205.3	E04A4.8	negative
B0205.3	EEED8.7	negative
B0205.3	EEED8.9	negative
B0205.3	F01F1.1	negative
B0205.3	F01F1.7	negative
B0205.3	F01F1.8	negative
B0205.3	F01G4.1	negative
B0205.3	F01G4.3	negative
B0205.3	F02D8.3	negative
B0205.3	F02E8.1	negative
B0205.3	F02E8.5	negative
B0205.3	F02E9.4	negative
B0205.3	F07A11.6	negative
B0205.3	F07D10.1	negative
B0205.3	F08B4.1	negative
B0205.3	F08B4.5	negative
B0205.3	F09C3.1	negative
B0205.3	F09E5.1	negative
B0205.3	F09E5.5	negative
B0205.3	F09E8.3	negative
B0205.3	F09G2.4	negative
B0205.3	F09G8.3	negative
B0205.3	F10B5.1	negative
B0205.3	F10B5.6	negative
B0205.3	F10B5.8	negative
B0205.3	F10C2.4	negative
B0205.3	F10C5.1	negative
B0205.3	F10E7.7	negative
B0205.3	F10E9.5	negative
B0205.3	F10G7.2	negative
B0205.3	F10G8.7	negative
B0205.3	F10G8.8	negative
B0205.3	F11A10.8	negative
B0205.3	F11A6.1	negative
B0205.3	F11C7.4	negative
B0205.3	F11H8.1	negative
B0205.3	F12F6.7	negative
B0205.3	F13B10.2	negative
B0205.3	F13B9.1	negative
B0205.3	F13B9.8	negative
B0205.3	F13D12.7	negative
B0205.3	F13G3.11	negative
B0205.3	F14B4.3	negative
B0205.3	F14E5.2	negative
B0205.3	F14F3.2	negative
B0205.3	F15C11.2	negative
B0205.3	F15D3.7	negative
B0205.3	F17C11.7	negative
B0205.3	F17C11.8	negative
B0205.3	F17C11.9	negative
B0205.3	F17E5.1	negative
B0205.3	F18A1.5	negative
B0205.3	F18C12.1	negative
B0205.3	F18C5.2	negative
B0205.3	F18E2.3	negative
B0205.3	F19B6.2	negative
B0205.3	F19F10.12	negative
B0205.3	F20C5.2	negative
B0205.3	F20D12.4	negative
B0205.3	F21C3.5	negative
B0205.3	F21D5.5	negative
B0205.3	F21D5.8	negative
B0205.3	F21H12.1	negative
B0205.3	F22B5.2	negative
B0205.3	F22B5.7	negative
B0205.3	F22D3.6	negative
B0205.3	F22D6.4	negative
B0205.3	F23B12.6	negative
B0205.3	F23B12.8	negative
B0205.3	F23B2.13	negative
B0205.3	F23B2.6	negative
B0205.3	F23C8.6	negative
B0205.3	F23F1.5	negative
B0205.3	F23H11.3	negative
B0205.3	F23H12.2	negative
B0205.3	F25B5.7	negative
B0205.3	F25D7.1	negative
B0205.3	F25G6.2	negative
B0205.3	F25H2.10	negative
B0205.3	F25H5.6	negative
B0205.3	F26A3.2	negative
B0205.3	F26B1.2	negative
B0205.3	F26D10.3	negative
B0205.3	F26D11.11	negative
B0205.3	F26E4.1	negative
B0205.3	F26E4.10	negative
B0205.3	F26E4.11	negative
B0205.3	F26F12.7	negative
B0205.3	F26F4.10	negative
B0205.3	F26F4.11	negative
B0205.3	F26H11.2	negative
B0205.3	F26H9.6	negative
B0205.3	F27C1.7	negative
B0205.3	F27C8.1	negative
B0205.3	F28A10.6	negative
B0205.3	F28B3.7	negative
B0205.3	F28B3.8	negative
B0205.3	F28C6.3	negative
B0205.3	F28C6.6	negative
B0205.3	F28C6.7	negative
B0205.3	F28D1.10	negative
B0205.3	F28D1.7	negative
B0205.3	F28D9.1	negative
B0205.3	F28F5.3	negative
B0205.3	F28F8.3	negative
B0205.3	F28F9.1	negative
B0205.3	F29B9.10	negative
B0205.3	F29C12.3	negative
B0205.3	F29D10.4	negative
B0205.3	F29F11.6	negative
B0205.3	F29G9.3	negative
B0205.3	F30F8.8	negative
B0205.3	F31C3.5	negative
B0205.3	F31D4.1	negative
B0205.3	F31E3.3	negative
B0205.3	F31E8.3	negative
B0205.3	F32A11.2	negative
B0205.3	F32A5.7	negative
B0205.3	F32D1.10	negative
B0205.3	F32H2.2	negative
B0205.3	F32H2.4	negative
B0205.3	F33C8.3	negative
B0205.3	F33D11.9	negative
B0205.3	F33D4.1	negative
B0205.3	F33D4.2	negative
B0205.3	F33D4.5	negative
B0205.3	F33D4.8	negative
B0205.3	F33H2.5	negative
B0205.3	F35F11.1	negative
B0205.3	F35G12.8	negative
B0205.3	F35G2.4	negative
B0205.3	F35H12.3	negative
B0205.3	F36A2.13	negative
B0205.3	F36A2.6	negative
B0205.3	F36A4.7	negative
B0205.3	F36F2.4	negative
B0205.3	F36F2.6	negative
B0205.3	F37A4.2	negative
B0205.3	F37A4.8	negative
B0205.3	F37C12.11	negative
B0205.3	F37C12.13	negative
B0205.3	F37C12.4	negative
B0205.3	F37C12.9	negative
B0205.3	F37D6.1	negative
B0205.3	F37E3.1	negative
B0205.3	F38B7.1	negative
B0205.3	F38H4.9	negative
B0205.3	F39B2.2	negative
B0205.3	F39B2.4	negative
B0205.3	F39B2.6	negative
B0205.3	F39G3.7	negative
B0205.3	F39H11.3	negative
B0205.3	F40F11.1	negative
B0205.3	F40F8.10	negative
B0205.3	F40F8.9	negative
B0205.3	F41C3.5	negative
B0205.3	F41E6.9	negative
B0205.3	F41H10.6	negative
B0205.3	F42C5.8	negative
B0205.3	F42G10.2	negative
B0205.3	F43C1.2	negative
B0205.3	F43C1.6	negative
B0205.3	F43E2.2	negative
B0205.3	F43G9.5	negative
B0205.3	F43G9.6	negative
B0205.3	F43H9.2	negative
B0205.3	F44B9.4	negative
B0205.3	F44B9.8	negative
B0205.3	F44G4.4	negative
B0205.3	F44G4.8	negative
B0205.3	F45D3.5	negative
B0205.3	F45E1.6	negative
B0205.3	F45E12.2	negative
B0205.3	F45G2.3	negative
B0205.3	F45H11.2	negative
B0205.3	F46A9.5	negative
B0205.3	F46B6.3	negative
B0205.3	F46B6.6	negative
B0205.3	F47A4.2	negative
B0205.3	F47B10.1	negative
B0205.3	F47D12.4	negative
B0205.3	F48D6.1	negative
B0205.3	F48E8.5	negative
B0205.3	F48E8.7	negative
B0205.3	F48F7.1	negative
B0205.3	F52B10.1	negative
B0205.3	F52B5.6	negative
B0205.3	F52C12.1	negative
B0205.3	F52D10.3	negative
B0205.3	F52E4.7	negative
B0205.3	F52F12.3	negative
B0205.3	F53A3.2	negative
B0205.3	F53A3.3	negative
B0205.3	F53F4.10	negative
B0205.3	F53G12.10	negative
B0205.3	F53G2.7	negative
B0205.3	F53H1.1	negative
B0205.3	F53H8.1	negative
B0205.3	F54A3.3	negative
B0205.3	F54A5.3	negative
B0205.3	F54C4.1	negative
B0205.3	F54C4.2	negative
B0205.3	F54C9.5	negative
B0205.3	F54D5.11	negative
B0205.3	F54E7.2	negative
B0205.3	F54E7.3	negative
B0205.3	F54E7.7	negative
B0205.3	F54F2.1	negative
B0205.3	F54G8.3	negative
B0205.3	F55A11.3	negative
B0205.3	F55A3.3	negative
B0205.3	F55B12.3	negative
B0205.3	F55C10.1	negative
B0205.3	F56A11.1	negative
B0205.3	F56A8.7	negative
B0205.3	F56B3.4	negative
B0205.3	F56B3.8	negative
B0205.3	F56C9.1	negative
B0205.3	F56D1.3	negative
B0205.3	F56D2.6	negative
B0205.3	F56E10.4	negative
B0205.3	F56F3.5	negative
B0205.3	F57B10.10	negative
B0205.3	F58A3.1	negative
B0205.3	F58A4.4	negative
B0205.3	F58A4.8	negative
B0205.3	F58A4.9	negative
B0205.3	F58B3.5	negative
B0205.3	F58B3.7	negative
B0205.3	F58D5.1	negative
B0205.3	F58E10.3	negative
B0205.3	F58F12.1	negative
B0205.3	F58F6.4	negative
B0205.3	F58G11.5	negative
B0205.3	F59A2.3	negative
B0205.3	F59A3.3	negative
B0205.3	F59C6.4	negative
B0205.3	F59C6.5	negative
B0205.3	F59E10.1	negative
B0205.3	F59G1.3	negative
B0205.3	H06I04.4	negative
B0205.3	H06O01.1	negative
B0205.3	H12C20.2	negative
B0205.3	H14E04.5	negative
B0205.3	H19N07.1	negative
B0205.3	H20J04.2	negative
B0205.3	H20J04.5	negative
B0205.3	H22K11.4	negative
B0205.3	H25P06.2	negative
B0205.3	H26D21.1	negative
B0205.3	H26D21.2	negative
B0205.3	H27M09.2	negative
B0205.3	H28O16.1	negative
B0205.3	H28O16.2	negative
B0205.3	H38K22.1	negative
B0205.3	JC8.3	negative
B0205.3	K01A2.1	negative
B0205.3	K01C8.10	negative
B0205.3	K01C8.6	negative
B0205.3	K01G5.4	negative
B0205.3	K02B12.1	negative
B0205.3	K02B2.5	negative
B0205.3	K02D10.5	negative
B0205.3	K02F2.3	negative
B0205.3	K02F3.11	negative
B0205.3	K03A1.1	negative
B0205.3	K03D10.3	negative
B0205.3	K03H1.2	negative
B0205.3	K04A8.6	negative
B0205.3	K04C2.4	negative
B0205.3	K04G2.1	negative
B0205.3	K04G7.10	negative
B0205.3	K04G7.3	negative
B0205.3	K04G7.4	negative
B0205.3	K05C4.6	negative
B0205.3	K06H7.6	negative
B0205.3	K07A1.12	negative
B0205.3	K07A12.3	negative
B0205.3	K07C11.9	negative
B0205.3	K07C5.1	negative
B0205.3	K07E3.8	negative
B0205.3	K07G5.2	negative
B0205.3	K08A8.3	negative
B0205.3	K08B4.1	negative
B0205.3	K08C7.3	negative
B0205.3	K08D10.4	negative
B0205.3	K08E3.6	negative
B0205.3	K08E3.7	negative
B0205.3	K08E4.1	negative
B0205.3	K08F11.3	negative
B0205.3	K08F4.1	negative
B0205.3	K08F8.6	negative
B0205.3	K08H2.6	negative
B0205.3	K09A9.4	negative
B0205.3	K09H9.2	negative
B0205.3	K10B2.1	negative
B0205.3	K10B3.10	negative
B0205.3	K10B3.8	negative
B0205.3	K10C8.1	negative
B0205.3	K10D2.1	negative
B0205.3	K11D12.2	negative
B0205.3	K11D2.3	negative
B0205.3	K11E4.4	negative
B0205.3	K11H12.2	negative
B0205.3	K12C11.2	negative
B0205.3	K12D12.1	negative
B0205.3	K12H4.8	negative
B0205.3	M01B12.3	negative
B0205.3	M01D7.7	negative
B0205.3	M01E5.5	negative
B0205.3	M01F1.2	negative
B0205.3	M03C11.4	negative
B0205.3	M03D4.1	negative
B0205.3	M04B2.3	negative
B0205.3	M106.1	negative
B0205.3	M106.5	negative
B0205.3	M18.5	negative
B0205.3	M79.1	negative
B0205.3	M88.2	negative
B0205.3	MTCE.11	negative
B0205.3	MTCE.12	negative
B0205.3	MTCE.25	negative
B0205.3	MTCE.31	negative
B0205.3	MTCE.35	negative
B0205.3	R01H10.1	negative
B0205.3	R01H2.6	negative
B0205.3	R02D3.2	negative
B0205.3	R02D3.3	negative
B0205.3	R02D3.5	negative
B0205.3	R02E12.2	negative
B0205.3	R06A4.7	negative
B0205.3	R06C7.7	negative
B0205.3	R06F6.2	negative
B0205.3	R07B5.9	negative
B0205.3	R07E5.14	negative
B0205.3	R07E5.3	negative
B0205.3	R07E5.8	negative
B0205.3	R07G3.1	negative
B0205.3	R08C7.3	negative
B0205.3	R08D7.3	negative
B0205.3	R09B3.1	negative
B0205.3	R10A10.2	negative
B0205.3	R10E11.1	negative
B0205.3	R10E4.4	negative
B0205.3	R119.4	negative
B0205.3	R119.6	negative
B0205.3	R11A5.1	negative
B0205.3	R11A8.4	negative
B0205.3	R11A8.6	negative
B0205.3	R11D1.8	negative
B0205.3	R11D1.9	negative
B0205.3	R11H6.5	negative
B0205.3	R12B2.1	negative
B0205.3	R12B2.5	negative
B0205.3	R12E2.12	negative
B0205.3	R13A5.8	negative
B0205.3	R144.2	negative
B0205.3	R144.4	negative
B0205.3	R144.9	negative
B0205.3	R151.3	negative
B0205.3	R151.6	negative
B0205.3	R151.7	negative
B0205.3	R151.9	negative
B0205.3	R166.5	negative
B0205.3	R53.6	negative
B0205.3	R74.1	negative
B0205.3	T01C3.10	negative
B0205.3	T01C3.6	negative
B0205.3	T01E8.3	negative
B0205.3	T01E8.6	negative
B0205.3	T01G9.4	negative
B0205.3	T01G9.6	negative
B0205.3	T02C12.3	negative
B0205.3	T02C5.5	negative
B0205.3	T02G5.9	negative
B0205.3	T02H6.2	negative
B0205.3	T03D8.2	negative
B0205.3	T04A8.11	negative
B0205.3	T04A8.14	negative
B0205.3	T04C10.2	negative
B0205.3	T04C12.5	negative
B0205.3	T04H1.4	negative
B0205.3	T05A6.2	negative
B0205.3	T05C12.7	negative
B0205.3	T05E11.1	negative
B0205.3	T05E11.6	negative
B0205.3	T05F1.3	negative
B0205.3	T05F1.6	negative
B0205.3	T05G5.3	negative
B0205.3	T05H4.6	negative
B0205.3	T06G6.9	negative
B0205.3	T07A9.11	negative
B0205.3	T07C12.12	negative
B0205.3	T07D1.2	negative
B0205.3	T07D4.3	negative
B0205.3	T08A11.2	negative
B0205.3	T08B2.8	negative
B0205.3	T08G5.5	negative
B0205.3	T09A5.11	negative
B0205.3	T09A5.6	negative
B0205.3	T09B4.10	negative
B0205.3	T09B4.9	negative
B0205.3	T10B5.5	negative
B0205.3	T10C6.5	negative
B0205.3	T10E9.7	negative
B0205.3	T10F2.4	negative
B0205.3	T10G3.5	negative
B0205.3	T10G3.6	negative
B0205.3	T10H9.4	negative
B0205.3	T12A2.2	negative
B0205.3	T12A2.7	negative
B0205.3	T12D8.1	negative
B0205.3	T12D8.8	negative
B0205.3	T12E12.4	negative
B0205.3	T12G3.5	negative
B0205.3	T13F2.2	negative
B0205.3	T13F2.3	negative
B0205.3	T13F2.8	negative
B0205.3	T13H5.4	negative
B0205.3	T13H5.5	negative
B0205.3	T14B4.2	negative
B0205.3	T14G10.7	negative
B0205.3	T14G8.1	negative
B0205.3	T16G1.11	negative
B0205.3	T16G12.6	negative
B0205.3	T16H12.4	negative
B0205.3	T16H12.5	negative
B0205.3	T18H9.7	negative
B0205.3	T19B10.11	negative
B0205.3	T19B10.3	negative
B0205.3	T20B12.2	negative
B0205.3	T20B12.8	negative
B0205.3	T20B5.1	negative
B0205.3	T20D3.7	negative
B0205.3	T20D3.8	negative
B0205.3	T20G5.1	negative
B0205.3	T20G5.10	negative
B0205.3	T20G5.2	negative
B0205.3	T20H4.5	negative
B0205.3	T21B10.7	negative
B0205.3	T21B6.1	negative
B0205.3	T21C9.12	negative
B0205.3	T21C9.4	negative
B0205.3	T21D12.4	negative
B0205.3	T21E12.4	negative
B0205.3	T21H3.3	negative
B0205.3	T22C1.3	negative
B0205.3	T22C1.6	negative
B0205.3	T22D1.10	negative
B0205.3	T22D1.4	negative
B0205.3	T23B12.2	negative
B0205.3	T23B12.3	negative
B0205.3	T23D8.2	negative
B0205.3	T23D8.4	negative
B0205.3	T23F1.7	negative
B0205.3	T23G11.5	negative
B0205.3	T23G7.4	negative
B0205.3	T24B8.1	negative
B0205.3	T25B9.10	negative
B0205.3	T25D3.2	negative
B0205.3	T26A5.3	negative
B0205.3	T26A5.8	negative
B0205.3	T26A5.9	negative
B0205.3	T26E3.3	negative
B0205.3	T27A3.6	negative
B0205.3	T27C4.4	negative
B0205.3	T27E9.3	negative
B0205.3	T27E9.7	negative
B0205.3	T27F2.1	negative
B0205.3	T27F2.3	negative
B0205.3	T27F7.1	negative
B0205.3	T28A8.7	negative
B0205.3	T28D6.9	negative
B0205.3	T28D9.10	negative
B0205.3	T28F12.3	negative
B0205.3	VC5.4	negative
B0205.3	VF36H2L.1	negative
B0205.3	W01A8.4	negative
B0205.3	W01D2.1	negative
B0205.3	W01G7.3	negative
B0205.3	W02A11.2	negative
B0205.3	W02A11.4	negative
B0205.3	W02B12.3	negative
B0205.3	W02D3.9	negative
B0205.3	W02D9.1	negative
B0205.3	W02D9.3	negative
B0205.3	W03D2.4	negative
B0205.3	W03F8.5	negative
B0205.3	W03F9.10	negative
B0205.3	W03F9.5	negative
B0205.3	W04A4.5	negative
B0205.3	W04A8.7	negative
B0205.3	W04D2.5	negative
B0205.3	W06B4.3	negative
B0205.3	W06F12.1	negative
B0205.3	W07E6.4	negative
B0205.3	W07G4.3	negative
B0205.3	W08E3.2	negative
B0205.3	W08F4.8	negative
B0205.3	W09B6.2	negative
B0205.3	W09C5.2	negative
B0205.3	W09C5.6	negative
B0205.3	W09D10.3	negative
B0205.3	W09G10.4	negative
B0205.3	W09G3.2	negative
B0205.3	W10C8.2	negative
B0205.3	W10D5.2	negative
B0205.3	Y102A5A.1	negative
B0205.3	Y102A5C.18	negative
B0205.3	Y104H12D.1	negative
B0205.3	Y105E8A.16	negative
B0205.3	Y105E8A.17	negative
B0205.3	Y105E8A.9	negative
B0205.3	Y105E8B.2	negative
B0205.3	Y106G6H.2	negative
B0205.3	Y106G6H.3	negative
B0205.3	Y106G6H.7	negative
B0205.3	Y108G3AL.1	negative
B0205.3	Y108G3AL.7	negative
B0205.3	Y110A2AL.13	negative
B0205.3	Y110A7A.10	negative
B0205.3	Y110A7A.16	negative
B0205.3	Y110A7A.17	negative
B0205.3	Y110A7A.19	negative
B0205.3	Y110A7A.8	negative
B0205.3	Y110A7A.9	negative
B0205.3	Y111B2A.11	negative
B0205.3	Y111B2A.13	negative
B0205.3	Y111B2A.16	negative
B0205.3	Y111B2A.17	negative
B0205.3	Y111B2A.18	negative
B0205.3	Y111B2A.22	negative
B0205.3	Y113G7B.17	negative
B0205.3	Y113G7B.18	negative
B0205.3	Y113G7B.23	negative
B0205.3	Y113G7B.24	negative
B0205.3	Y116A8C.35	negative
B0205.3	Y116A8C.42	negative
B0205.3	Y119C1B.4	negative
B0205.3	Y119C1B.8	negative
B0205.3	Y119D3B.16	negative
B0205.3	Y17G7B.2	negative
B0205.3	Y17G7B.5	negative
B0205.3	Y17G9B.5	negative
B0205.3	Y18D10A.5	negative
B0205.3	Y20F4.3	negative
B0205.3	Y22D7AL.5	negative
B0205.3	Y22F5A.3	negative
B0205.3	Y23H5A.5	negative
B0205.3	Y24D9A.4	negative
B0205.3	Y25C1A.8	negative
B0205.3	Y32H12A.2	negative
B0205.3	Y34D9A.1	negative
B0205.3	Y37D8A.1	negative
B0205.3	Y37D8A.18	negative
B0205.3	Y37D8A.9	negative
B0205.3	Y37E11AR.2	negative
B0205.3	Y37E11B.4	negative
B0205.3	Y37E3.10	negative
B0205.3	Y37E3.15	negative
B0205.3	Y37E3.3	negative
B0205.3	Y37E3.7	negative
B0205.3	Y37E3.8	negative
B0205.3	Y38A10A.5	negative
B0205.3	Y38C1AA.2	negative
B0205.3	Y38C1BA.2	negative
B0205.3	Y38F1A.5	negative
B0205.3	Y38F2AR.9	negative
B0205.3	Y39A1A.12	negative
B0205.3	Y39A1A.23	negative
B0205.3	Y39A1A.6	negative
B0205.3	Y39A1B.3	negative
B0205.3	Y39A1C.3	negative
B0205.3	Y39A3CR.1	negative
B0205.3	Y39B6A.36	negative
B0205.3	Y39B6A.39	negative
B0205.3	Y39G10AL.3	negative
B0205.3	Y39G10AR.13	negative
B0205.3	Y39G10AR.14	negative
B0205.3	Y39G10AR.8	negative
B0205.3	Y39H10A.7	negative
B0205.3	Y40B1B.6	negative
B0205.3	Y41C4A.10	negative
B0205.3	Y41C4A.14	negative
B0205.3	Y41D4B.13	negative
B0205.3	Y41D4B.5	negative
B0205.3	Y41E3.11	negative
B0205.3	Y41E3.4	negative
B0205.3	Y41E3.9	negative
B0205.3	Y43B11AR.4	negative
B0205.3	Y43C5A.6	negative
B0205.3	Y43F4B.4	negative
B0205.3	Y43F4B.6	negative
B0205.3	Y43F8C.8	negative
B0205.3	Y44E3A.4	negative
B0205.3	Y44E3A.6	negative
B0205.3	Y45F10D.11	negative
B0205.3	Y45F10D.12	negative
B0205.3	Y45G12B.1	negative
B0205.3	Y46G5A.12	negative
B0205.3	Y46G5A.21	negative
B0205.3	Y46G5A.4	negative
B0205.3	Y46H3A.7	negative
B0205.3	Y47A7.1	negative
B0205.3	Y47D3A.26	negative
B0205.3	Y47D3A.29	negative
B0205.3	Y47D3A.4	negative
B0205.3	Y47G6A.10	negative
B0205.3	Y47G6A.11	negative
B0205.3	Y47G6A.20	negative
B0205.3	Y47G6A.6	negative
B0205.3	Y47G6A.8	negative
B0205.3	Y48A6B.5	negative
B0205.3	Y48B6A.11	negative
B0205.3	Y48B6A.2	negative
B0205.3	Y48E1A.1	negative
B0205.3	Y48E1B.5	negative
B0205.3	Y48G1BM.1	negative
B0205.3	Y48G1C.12	negative
B0205.3	Y48G8AL.14	negative
B0205.3	Y48G8AL.6	negative
B0205.3	Y48G8AL.8	negative
B0205.3	Y48G9A.3	negative
B0205.3	Y49A3A.5	negative
B0205.3	Y49E10.15	negative
B0205.3	Y49F6B.1	negative
B0205.3	Y50D7A.2	negative
B0205.3	Y50D7A.4	negative
B0205.3	Y50D7A.6	negative
B0205.3	Y50D7A.7	negative
B0205.3	Y50E8A.4	negative
B0205.3	Y51A2D.7	negative
B0205.3	Y51H1A.3	negative
B0205.3	Y51H1A.4	negative
B0205.3	Y51H4A.3	negative
B0205.3	Y51H7C.6	negative
B0205.3	Y52B11A.9	negative
B0205.3	Y53C12B.1	negative
B0205.3	Y53F4B.15	negative
B0205.3	Y53F4B.3	negative
B0205.3	Y53G8AL.2	negative
B0205.3	Y53G8AR.2	negative
B0205.3	Y54E10A.15	negative
B0205.3	Y54E10A.2	negative
B0205.3	Y54E10A.7	negative
B0205.3	Y54E10BL.5	negative
B0205.3	Y54E10BL.6	negative
B0205.3	Y54E10BR.6	negative
B0205.3	Y54E2A.11	negative
B0205.3	Y54E2A.4	negative
B0205.3	Y54E5B.3	negative
B0205.3	Y54F10AM.5	negative
B0205.3	Y54F10BM.14	negative
B0205.3	Y54G11A.10	negative
B0205.3	Y54G2A.31	negative
B0205.3	Y54G9A.3	negative
B0205.3	Y54G9A.6	negative
B0205.3	Y55B1AL.2	negative
B0205.3	Y55B1BR.4	negative
B0205.3	Y55F3AM.1	negative
B0205.3	Y55F3AM.15	negative
B0205.3	Y55F3AR.3	negative
B0205.3	Y55F3BL.1	negative
B0205.3	Y55F3BR.1	negative
B0205.3	Y56A3A.19	negative
B0205.3	Y56A3A.27	negative
B0205.3	Y56A3A.32	negative
B0205.3	Y57A10A.25	negative
B0205.3	Y57E12AL.5	negative
B0205.3	Y57G11C.12	negative
B0205.3	Y57G11C.16	negative
B0205.3	Y57G11C.34	negative
B0205.3	Y57G11C.4	negative
B0205.3	Y59A8A.1	negative
B0205.3	Y59A8B.14	negative
B0205.3	Y60A3A.12	negative
B0205.3	Y62E10A.12	negative
B0205.3	Y62E10A.2	negative
B0205.3	Y62F5A.1	negative
B0205.3	Y63D3A.7	negative
B0205.3	Y65B4A.3	negative
B0205.3	Y65B4A.6	negative
B0205.3	Y65B4BR.8	negative
B0205.3	Y66A7A.2	negative
B0205.3	Y66D12A.15	negative
B0205.3	Y66D12A.17	negative
B0205.3	Y66D12A.22	negative
B0205.3	Y66D12A.9	negative
B0205.3	Y66H1A.3	negative
B0205.3	Y67H2A.1	negative
B0205.3	Y67H2A.6	negative
B0205.3	Y69A2AR.18	negative
B0205.3	Y69A2AR.30	negative
B0205.3	Y69A2AR.6	negative
B0205.3	Y6D11A.2	negative
B0205.3	Y71A12B.1	negative
B0205.3	Y71A12B.4	negative
B0205.3	Y71D11A.2	negative
B0205.3	Y71F9AL.13	negative
B0205.3	Y71F9AL.16	negative
B0205.3	Y71F9AL.18	negative
B0205.3	Y71F9AM.4	negative
B0205.3	Y71F9B.16	negative
B0205.3	Y71F9B.4	negative
B0205.3	Y71G12B.1	negative
B0205.3	Y71G12B.14	negative
B0205.3	Y71H2AM.17	negative
B0205.3	Y71H2AM.19	negative
B0205.3	Y71H2B.10	negative
B0205.3	Y71H2B.6	negative
B0205.3	Y73B6A.5	negative
B0205.3	Y73B6BL.18	negative
B0205.3	Y73B6BL.19	negative
B0205.3	Y73B6BL.3	negative
B0205.3	Y73B6BL.30	negative
B0205.3	Y73B6BL.32	negative
B0205.3	Y73B6BL.33	negative
B0205.3	Y73E7A.4	negative
B0205.3	Y73F8A.24	negative
B0205.3	Y74C10AR.1	negative
B0205.3	Y75B8A.24	negative
B0205.3	Y75B8A.30	negative
B0205.3	Y75B8A.7	negative
B0205.3	Y76B12C.7	negative
B0205.3	Y77E11A.13	negative
B0205.3	Y82E9BR.15	negative
B0205.3	Y82E9BR.3	negative
B0205.3	Y87G2A.10	negative
B0205.3	Y92C3B.2	negative
B0205.3	Y92H12A.1	negative
B0205.3	Y92H12BR.8	negative
B0205.3	Y94H6A.8	negative
B0205.3	Y97E10AR.5	negative
B0205.3	Y97E10AR.7	negative
B0205.3	ZC155.7	negative
B0205.3	ZC168.3	negative
B0205.3	ZC168.4	negative
B0205.3	ZC262.8	negative
B0205.3	ZC302.1	negative
B0205.3	ZC376.6	negative
B0205.3	ZC434.2	negative
B0205.3	ZC434.5	negative
B0205.3	ZC434.6	negative
B0205.3	ZC434.8	negative
B0205.3	ZC477.9	negative
B0205.3	ZK1010.1	negative
B0205.3	ZK1058.2	negative
B0205.3	ZK1098.7	negative
B0205.3	ZK1127.11	negative
B0205.3	ZK1127.4	negative
B0205.3	ZK1128.4	negative
B0205.3	ZK1128.5	negative
B0205.3	ZK1128.8	negative
B0205.3	ZK131.7	negative
B0205.3	ZK131.8	negative
B0205.3	ZK1320.6	negative
B0205.3	ZK180.1	negative
B0205.3	ZK287.5	negative
B0205.3	ZK328.2	negative
B0205.3	ZK328.5	negative
B0205.3	ZK353.1	negative
B0205.3	ZK370.2	negative
B0205.3	ZK484.1	negative
B0205.3	ZK520.4	negative
B0205.3	ZK550.4	negative
B0205.3	ZK593.5	negative
B0205.3	ZK593.7	negative
B0205.3	ZK616.4	negative
B0205.3	ZK632.1	negative
B0205.3	ZK632.13	negative
B0205.3	ZK637.7	negative
B0205.3	ZK652.1	negative
B0205.3	ZK652.4	negative
B0205.3	ZK675.1	negative
B0205.3	ZK686.3	negative
B0205.3	ZK742.1	negative
B0205.3	ZK792.6	negative
B0205.3	ZK795.3	negative
B0205.3	ZK856.1	negative
B0205.3	ZK856.13	negative
B0205.3	ZK863.3	negative
B0205.3	ZK909.2	negative
B0205.3	ZK930.1	negative
B0205.3	ZK970.2	negative
B0205.3	ZK970.3	negative
B0205.3	ZK973.10	negative
B0205.7	B0207.4	negative
B0205.7	B0250.1	negative
B0205.7	B0261.2	negative
B0205.7	B0261.4	negative
B0205.7	B0303.15	negative
B0205.7	B0334.8	negative
B0205.7	B0336.10	negative
B0205.7	B0348.6	negative
B0205.7	B0393.1	negative
B0205.7	B0412.4	negative
B0205.7	B0432.2	negative
B0205.7	B0464.1	negative
B0205.7	B0464.2	negative
B0205.7	B0464.5	negative
B0205.7	B0464.7	negative
B0205.7	B0464.9	negative
B0205.7	B0478.1	negative
B0205.7	B0511.10	negative
B0205.7	B0513.2	negative
B0205.7	B0547.1	negative
B0205.7	B0564.1	negative
B0205.7	C01A2.4	negative
B0205.7	C01B7.4	negative
B0205.7	C01F1.1	negative
B0205.7	C01F6.8	negative
B0205.7	C01G8.9	negative
B0205.7	C02B10.2	negative
B0205.7	C02C6.1	negative
B0205.7	C02D4.2	negative
B0205.7	C02F4.1	negative
B0205.7	C02F4.2	negative
B0205.7	C02F5.9	negative
B0205.7	C03D6.5	negative
B0205.7	C03D6.8	negative
B0205.7	C03G5.1	negative
B0205.7	C04A11.4	negative
B0205.7	C04F12.4	negative
B0205.7	C04G2.6	negative
B0205.7	C04G6.3	negative
B0205.7	C04H5.6	negative
B0205.7	C05D11.10	negative
B0205.7	C05D11.2	negative
B0205.7	C05D11.9	negative
B0205.7	C05D9.1	negative
B0205.7	C06A1.5	negative
B0205.7	C06A8.2	negative
B0205.7	C06B8.8	negative
B0205.7	C06C3.1	negative
B0205.7	C06G3.10	negative
B0205.7	C06G3.11	negative
B0205.7	C07A12.4	negative
B0205.7	C07G1.5	negative
B0205.7	C07G2.3	negative
B0205.7	C07H6.1	negative
B0205.7	C07H6.4	negative
B0205.7	C07H6.5	negative
