UniProt Acc	Sequence Name (Gene)
O02073	F19B10.9
O16625	K10G6.3
Q22706	T23G7.4
Q9XWS2	Y106G6H.7
Q9U2Z1	Y113G7A.3
Q19371	F12F6.6
Q23368	ZC518.2
Q95YI9	R03G5.2
Q20423	F45D3.5
Q19317	F10F2.1
Q20050	F35G12.3
Q20056	F35G12.3
Q93846	K04G11.2
Q09260	C32A3.1
Q09260	C32A3.1
O17528	W02D7.7
Q93794	F55B12.3
Q93794	F55B12.3
Q20798	F55A11.3
P52166	F35H12.3
Q8T3B9	C32E12.5
Q17396	F15C11.1
P29355	C14F5.5
Q9N3T9	Y47G6A.12
O17470	F59C12.2
Q7KPZ5	F59C12.2
O02213	C02D4.2
O02213	C02D4.2
O02213	C02D4.2
O02213	C02D4.2
O02213	C02D4.2
Q6LA86	C02D4.2
O44986	K02F2.6
O18512	Y22D7AR.13
Q22895	C09B7.1
Q8T3C1	C09B7.1
Q86GT6	C09B7.1
Q22795	T26A5.7
Q7YZW7	T26A5.7
Q18221	C26E6.9
Q18221	C26E6.9
Q18221	C26E6.9
Q8MXR5	Y73B6BL.5
Q8MXR4	Y73B6BL.5
Q8IU02	Y73B6BL.5
A9D2P7	Y73B6BL.5
P41830	F44A6.2
Q9N5N8	H06I04.2
Q18864	C54H2.5
Q2PJ68	W10G6.2
Q2PJ68	W10G6.2
Q19185	F07H5.2
Q22012	R186.5
Q9GZC8	C04F5.1
O46019	ZK520.2
Q20363	F43D9.4
Q21921	R11A8.4
D3YT50	R11A8.4
Q20480	F46G10.7
Q7JMD3	F46G10.7
D1MN70	F46G10.7
Q20481	F46G10.3
Q95Q89	C06A5.11
P34707	T19E7.2
P34707	T19E7.2
P34707	T19E7.2
Q22836	T27F2.1
Q93647	F46A9.5
Q93731	F46A9.4
O45517	F44G3.6
Q9U1Y9	Y60A3A.18
Q9XU27	F47H4.10
Q9U2N1	Y37H2C.2
Q9N3U8	Y47D7A.1
Q7KER3	C52D10.9
Q7KER2	C52D10.7
Q9NAM6	Y105C5B.13
Q22871	C52D10.6
Q7KEQ9	C52D10.8
Q9N3U9	Y47D7A.8
Q9TZ83	F54D10.1
Q18567	C42D4.6
Q17696	C06A8.4
C3JXE3	F56B3.4
C3JXE2	F56B3.4
Q21968	R12H7.3
Q21969	R12H7.5
Q21367	K08H2.1
Q19019	M02A10.3
Q95ZR5	M02A10.3
Q6ABG8	M02A10.3
Q95V25	Y51A2D.19
Q95V25	Y51A2D.19
Q95V25	Y51A2D.19
Q7KKH2	F08B12.3
Q19190	F08B12.3
Q565B7	F08B12.3
B2MZB8	F08B12.3
Q20204	F40E10.4
O02425	R31.1
Q7KPM2	R31.1
Q02330	ZK370.2
P45896	R13F6.9
P45897	R12B2.1
Q2L6Y5	R12B2.1
Q9XTI6	W06B3.2
Q8MMA0	W06B3.2
Q2PJ67	W06B3.2
Q4A1S7	W06B3.2
Q09488	C32D5.2
Q22190	T05A10.1
Q8MPY1	T05A10.1
Q7JM48	T05A10.1
Q7JM44	T05A10.1
Q7JM43	T05A10.1
Q7JM42	T05A10.1
Q7JM45	T05A10.1
Q7JM49	T05A10.1
Q7JM46	T05A10.1
Q7JM47	T05A10.1
Q2L6U8	T05A10.1
B5U8M2	T05A10.1
B5U8M3	T05A10.1
Q9U2C1	Y47D3A.26
B2FDA8	Y47D3A.26
Q20060	F35G12.8
O02655	F47G4.7
Q21434	K11G12.4
Q21434	K11G12.4
Q21433	K11G12.3
Q95XG8	Y69A2AR.4
O01510	C48B6.6
O01510	C48B6.6
O76512	Y48G8AL.6
Q95XD2	Y73B6BL.18
C2BR97	Y73B6BL.18
Q20445	F46B6.3
Q8WQF3	F46B6.3
Q94994	W02D3.8
Q9BL68	Y54F10AL.2
Q9BL69	Y54F10AL.2
Q1T6W7	Y54F10AL.2
Q9Y053	Y73B6A.4
Q9N405	Y39A3CR.1
Q86DC9	Y39A3CR.1
Q93365	C41G7.1
Q9U758	C41G7.1
P55853	K12C11.2
Q17330	Y54E5B.1
Q95Q16	Y54E5B.1
Q9TYS4	D1037.2
Q95Y51	Y71D11A.2
Q7Z1Q5	Y71D11A.2
Q9U3D4	H21P03.3
Q9U3D4	H21P03.3
Q9U3D4	H21P03.3
Q20735	F53H8.4
Q965Q4	Y22D7AL.8
O62120	CC4.3
Q9N4U5	Y49F6B.4
O02495	T10H9.4
Q19767	F23H12.1
P34351	C30A5.5
O44752	W03G9.1
P90890	F55H12.1
O17372	T13B5.1
Q9U2E0	Y46G5A.30
O76689	M01G5.5
O18288	ZK1010.9
O18300	ZK829.10
Q9XUG5	C49C3.1
O45915	Y32F6A.2
Q5J2D5	T03F7.1
O45813	T25B6.7
O76735	T08A9.3
Q9N528	Y38C1BA.2
Q8MXU3	Y38C1BA.2
Q17348	Y116A8C.42
P91918	W08E3.1
Q10013	T28D9.10
Q18786	C52E4.3
P34659	ZK652.1
Q9XTU6	Y49E10.15
Q9N4G9	Y71F9B.4
P34693	F31E8.2
Q95QH7	F31E8.2
Q3Y418	F42G9.7
Q965S5	Y75B7AL.3
P91493	T23H2.2
O16700	R12A1.2
Q9TZL3	C08G5.4
Q9GYJ9	C05D9.1
Q20280	F41F3.2
Q22875	AC7.2
Q22875	AC7.2
P34697	C15F1.7
P34697	C15F1.7
P31161	F10D11.1
P41977	C08A9.1
P34461	F55H2.1
Q65YQ0	F55H2.1
Q93212	C15A11.3
Q965H3	C50E10.4
Q9N4G4	Y71F9B.10
Q9N4G4	Y71F9B.10
Q9N5D3	T28F12.3
Q21305	K08A8.2
Q8IG08	K08A8.2
Q20201	F40E10.2
Q21408	K10B3.10
Q6AW14	Y34D9A.4
P91870	F32H2.3
Q9TYY7	H34C03.1
P91349	F56A3.4
Q01608	ZK524.1
Q95PZ9	Y66D12A.20
O01798	F53G12.6
Q9TVY6	C17D12.6
Q9TVY6	C17D12.6
Q5FC64	AC3.10
P54217	F48C1.7
Q17387	T02E1.1
Q9TZI9	F47G6.4
P34890	ZK617.3
Q10579	R10H10.2
P54218	C06E7.6
O61693	F25H8.7
Q23288	ZC404.3
Q95PY2	ZC404.3
Q21070	K01A11.4
Q9N3T5	Y47G6A.10
O44511	F42G8.11
Q03563	B0464.5
Q03563	B0464.5
Q03563	B0464.5
Q9Y194	Y66H1B.4
Q23287	ZC404.8
Q22236	T05E11.4
Q22291	T07C4.4
Q8MPX7	T08A9.12
Q22336	T08A9.7
Q22338	T08A9.8
Q86FL8	T08A9.9
Q22337	T08A9.10
Q9N4M7	ZK616.9
Q18279	C28C12.5
Q22776	T25C12.2
Q4JFH6	C28C12.7
Q18276	C28C12.7
Q10018	T25D10.3
Q9XVI5	T22G5.7
O17387	F08F1.6
Q2XN18	K09F5.3
Q9BIC4	C48E7.10
Q19968	F32D8.9
Q8WSN3	C54G6.5
Q19837	F27C8.4
Q94256	K04A8.9
Q94255	K04A8.8
Q18919	D1014.8
Q18240	C27B7.1
Q7JMA9	C27B7.1
Q17768	C07A12.5
Q17768	C07A12.5
O17582	C09H6.1
O17582	C09H6.1
Q9XWP6	Y40B1B.6
Q19820	F26F4.8
Q19823	F26F4.2
Q20367	F43G6.6
Q9TZ93	F54C4.2
Q21338	K08E4.1
P12114	B0491.2
O17209	C01B12.1
P08124	F23H12.4
Q19003	D2096.4
Q9N491	Y110A2AL.14
P34548	R10E11.4
Q19905	F29F11.1
O02330	T24D1.1
Q7Z1Z2	T24D1.1
Q965Q8	Y50D4C.4
Q18779	C52E12.3
Q09363	ZK1307.5
Q09203	AH6.4
Q09204	AH6.6
Q09205	AH6.7
Q09206	AH6.8
Q09208	AH6.10
Q09209	AH6.11
Q09210	AH6.12
Q09212	AH6.14
Q20405	F44F4.5
Q20405	F44F4.5
Q20411	F44F4.13
Q20410	F44F4.7
Q20618	F49E12.5
Q20618	F49E12.5
Q9XVP3	F35C5.2
O17842	F28C12.1
O18689	F28C12.2
O17844	F28C12.4
O18690	F28C12.5
O17846	F28C12.7
O62367	T06G6.1
O62368	T06G6.2
O17847	T26E3.9
Q22576	T19D12.8
Q19549	F18C5.1
Q19550	F18C5.6
Q19552	F18C5.8
Q9XW96	Y40H7A.6
Q18881	C56C10.5
Q10934	B0304.5
Q10935	B0304.6
Q10936	B0304.7
Q7YZG0	B0304.8
Q3Y412	B0304.9
Q94072	T21H8.2
Q94073	T21H8.3
O62420	T21H8.4
Q95ZY0	C27D6.10
Q95ZY1	C27D6.9
Q95ZY2	C27D6.8
Q95ZY4	C27D6.6
P54141	R05H5.6
P54142	F37C12.17
P83260	F37C12.15
P83260	F37C12.16
P46506	F23F12.10
Q8T6F8	Y92H12A.1
O45539	F49B2.5
Q19992	F33H1.5
Q21767	R05H5.1
O17240	K10B4.5
Q23648	ZK863.5
Q22594	T19E7.5
Q17760	C06G8.4
P90999	B0547.4
Q9GS01	T09D3.1
Q9NAH9	Y45F10B.14
Q20721	F53F4.9
Q18552	C39H7.6
Q95ZX2	C39H7.7
O01468	C04E6.10
O01466	C04E6.9
Q9U2P4	Y2H9A.2
P92001	F53F1.10
P92002	F53F1.11
Q9UAX5	Y38A10A.1
Q9U338	W06G6.3
Q9XWA0	Y40H7A.5
P91210	F07C4.4
P92015	T02B5.4
O45838	T26E4.12
O17956	M01B2.2
Q9GS04	F07C4.3
P91209	F07C4.5
P91211	F07C4.8
O01608	T19H12.5
O01609	T19H12.4
Q19975	F32G8.1
Q22011	R186.2
Q1HB03	R186.2
Q21714	R04D3.6
Q9U399	R04D3.12
Q21716	R04D3.8
Q19509	F17A2.12
O17821	F17A2.6
Q21715	R04D3.7
Q21717	R04D3.9
O17823	F17A2.8
Q19505	F17A2.7
Q19508	F17A2.10
Q19507	F17A2.11
O17822	F17A2.9
Q21705	R04B5.8
Q19474	F15A2.4
Q19473	F15A2.3
Q19419	F13G3.2
Q09572	K02A2.2
Q95QP1	E04F6.14
Q95QP0	E04F6.13
Q19061	E04F6.1
Q9UAU5	C13B7.3
Q9UAT7	C01B4.5
O17800	F13A7.2
Q86MI7	Y22D7AR.8
Q9N5X1	C39B5.12
Q9N519	Y39A3B.4
Q9N5W4	C39B5.11
O45326	F09C6.7
O44811	H04J21.2
Q9XV08	F48F5.4
Q9N4Y6	C13B7.4
Q09213	B0495.1
Q09273	C41C4.2
Q93890	M02B1.1
P46570	C18F10.4
P46571	C18F10.5
P46572	C18F10.6
P54126	T12A2.12
P54127	T12A2.11
P54128	T12A2.13
P54129	C18F10.8
P46565	T12A2.9
P46566	T12A2.10
P46568	T04A8.1
P46569	T04A8.2
P46567	T23F11.5
P91275	F26B1.6
Q18428	C34C6.1
O17819	F15A4.4
O17820	F15A4.7
Q9U324	Y105C5A.11
P91535	ZC204.4
P91535	ZC204.4
Q9TYL8	Y25C1A.9
Q9TYL7	Y25C1A.10
Q9TYL6	Y25C1A.11
Q9TYL5	Y25C1A.12
Q23035	T09D3.5
Q94168	C10G8.1
Q86B33	T09D3.7
Q23034	T09D3.2
Q86B34	T09D3.6
O45150	W02F12.7
O61892	T07H8.5
Q22642	T21C9.7
O01538	F21F8.1
Q9XXQ5	Y51A2D.12
Q9XTH3	K04C1.6
Q21203	K04C1.1
Q86GC0	T19C4.8
Q22569	T19C4.2
Q22572	T19C4.4
Q22568	T19C4.3
Q86GB9	T19C4.9
O45426	F31E9.2
Q9XTI1	C51F7.2
P91994	F32H5.5
O17699	C53A5.8
Q86B42	Y43B11AR.5
Q9N3X5	Y43B11AR.2
Q9XTE9	Y40H7A.8
O16974	T02B11.1
Q86GB8	W09D12.3
Q23228	W09D12.2
O76439	C24B9.10
Q86B37	C24B9.14
Q9N5G5	R05D8.6
O76435	C24B9.7
Q86B38	C24B9.15
O76440	C24B9.11
O76441	C24B9.12
O62517	ZK678.6
Q86B40	T05C3.8
Q86B41	T05C3.7
Q23076	ZC317.4
Q23077	ZC317.5
Q19258	F09E5.4
Q7YXA5	T11F9.18
Q95X77	C05E4.14
Q5F4U6	C05E4.14
Q9TXK6	K04F1.5
Q9N5I5	K09D9.6
Q9TXK5	K04F1.16
Q9N5I6	K09D9.7
Q9N5I7	K09D9.8
Q9UAX7	Y38A10A.3
Q23029	R09F10.6
P91981	C50B6.6
Q20814	F55C5.9
P90776	C47E8.2
P91980	C50B6.5
Q9GS13	F19G12.5
O16432	C02E7.3
O16433	C02E7.2
O16431	C02E7.4
O16430	C02E7.5
Q18834	C54D10.6
P91841	W05H5.4
Q23284	ZC404.5
Q95PY3	ZC404.12
Q9U346	W06D12.7
Q9XTV0	Y26G10.2
Q966I5	M02H5.9
Q966I4	M02H5.10
Q966I3	M02H5.11
O16978	T03D3.4
O16951	R11G11.9
O16906	C31B8.11
Q17690	C06A8.7
O76724	Y40D12A.3
Q9XVZ3	Y54G11A.12
Q7YXA6	Y54G11A.15
Q17479	B0334.7
Q22113	T03F7.2
Q22114	T03F7.3
Q22115	T03F7.4
Q17713	C06C3.6
P91030	C10G11.4
P91032	C10G11.2
P91031	C10G11.3
O17990	R08H2.7
O18074	T09F5.5
Q9N5G0	R05D8.3
Q9N3M0	Y49F6A.2
O44909	W10G11.10
O44908	W10G11.9
O18103	T21B4.8
O61871	ZK6.9
Q7YXA9	T27E7.8
O18100	T21B4.6
O18101	T21B4.5
O18102	T21B4.7
O18104	T21B4.9
Q9TZF4	T10D4.5
P91536	ZC204.5
Q8I4F8	T21B4.14
Q18640	C45B11.4
O02296	T04C12.2
Q7JKP7	T04C12.2
Q19814	F26F12.6
Q4TT96	F26F12.6
Q9UAW5	DC2.6
Q9UAW3	DC2.2
O76661	C04F2.1
Q9UAW4	DC2.1
O16993	W03F9.6
O17400	F09G2.7
Q9GUB8	H27D07.6
Q8IFY2	C44C3.9
Q9GUB6	F25E5.14
Q9GUB7	F25E5.13
Q9BI92	F21H7.11
Q9XV05	F49H6.4
Q7YTT4	F21H7.14
O44715	C46E10.7
Q9U5A4	C46E10.10
Q9XV25	F40D4.11
Q9XTV8	F21H7.7
O17277	T27A1.1
O45795	T19C9.4
Q9XXN9	F08E10.6
O45793	T19C9.2
Q9XXQ1	Y68A4A.7
O45966	Y61B8A.2
O45965	Y61B8A.1
O45651	K03D7.6
Q9XX73	Y102A5C.21
O45845	T27C5.1
O17988	R08H2.5
Q9XXP5	F08E10.3
P91069	C18B10.8
O45171	F37B4.1
Q9TZD7	Y47G7B.1
Q9GUC6	F14F9.7
Q9GUC3	F14F9.1
Q9XX66	Y102A5C.31
O45849	T27C5.5
Q9GRY6	Y59A8B.3
Q9GRY7	Y59A8B.4
Q9NAN5	T01E8.7
O45461	F36D3.6
O62500	Y70C5C.4
Q7YXA2	T08G3.12
Q9XXT2	F57E7.3
O45973	Y6E2A.6
Q9XU52	T08G3.5
O18071	T08G3.3
O45403	F26D2.4
D5MCT7	K08G2.12
Q7YXA8	K08G2.12
Q93867	K08G2.5
Q7YXA7	K08G2.13
Q9XV76	F20E11.12
Q9U3G2	F40D4.3
O17662	C41G6.9
Q9XX38	Y38H6C.12
Q9XU90	F57G8.3
D7SFR0	F57G8.3
O16227	C49G7.2
O17986	R08H2.3
Q9U1Z9	Y60A3A.5
Q9U1Z7	Y60A3A.6
Q9U1Z8	Y60A3A.4
Q9XV29	F40D4.1
Q9U3C5	K02E2.3
O45961	ZK228.8
O46012	ZK228.7
Q9XU91	F57G8.1
O46011	ZK228.6
O46006	ZK228.5
Q9U200	Y60A3A.3
Q18952	D1054.12
O16472	C50H11.7
O45473	F36G9.2
Q22959	F10G2.8
O16397	C17E7.2
O17520	ZC132.7
Q22989	F47D2.9
Q9GS02	F47D2.10
Q5DX31	F47D2.10
O17292	R52.7
O44579	ZK697.11
P91219	F07C4.13
O45697	R03H4.9
Q9XV78	F20E11.10
O44541	E03D2.3
Q9XX77	Y102A5C.15
Q9XTR9	ZK262.1
Q9XVB7	C43D7.6
Q9XTR2	ZK262.11
O16195	D1065.4
Q5F4V8	D1065.4
O16197	D1065.5
Q94303	T22F3.6
Q94302	T22F3.5
Q9XUN4	T20B3.4
Q9XUN5	T20B3.3
Q9XUN3	T20B3.5
Q9U2Y0	Y113G7B.2
Q7YTT3	C06B8.10
O17572	C06B8.6
Q20529	F47C12.5
O76829	F47C12.10
Q20530	F47C12.3
O46344	C35D6.2
O46344	C35D6.1
O76662	C04F2.4
O01450	C03G6.11
Q9U2Z3	Y113G7A.1
Q9GS03	F07C4.14
Q9XXP3	F08E10.1
Q9XXQ3	Y68A4A.9
O62384	T26H5.3
Q9BKN9	F37B4.13
O45164	F37B4.6
O45165	F37B4.3
O01447	C03G6.9
O17126	F31F4.9
Q9GUC2	F31F4.18
O16909	C31B8.13
O61969	H05B21.2
O16608	C49D10.3
O17987	R08H2.4
O45794	T19C9.3
Q7YXB0	F28B1.8
O45760	T06E6.6
O45761	T06E6.7
O45650	K03D7.4
O45762	T06E6.8
O45763	T06E6.9
O17130	F31F4.6
O16451	C54F6.1
O45738	T03E6.5
O45162	F37B4.5
Q9N5D1	W02H5.6
O45163	F37B4.4
P91118	C32B5.2
O01451	C03G6.7
O17826	F21A3.1
O45660	K05D4.6
O18075	T09F5.8
O17787	F11A5.2
O17786	F11A5.1
O16782	T21D12.5
O45304	C47A10.2
O45305	C47A10.3
Q9GRZ8	Y59A8A.4
Q7YTT8	C47A10.9
Q7YTT7	C47A10.7
Q7YTT6	C47A10.10
Q7YTT5	C47A10.11
Q9XXB1	Y94A7B.3
Q9XXB2	Y94A7B.1
O18050	K08G2.8
O45990	ZK1037.8
Q9XXB0	Y94A7B.4
O16539	C17F4.4
Q9XXA9	Y94A7B.5
Q7YXC0	K08G2.9
Q9XXB3	Y94A7B.6
Q9GRU8	Y94A7B.8
Q9GRV0	Y94A7B.7
Q9GRU9	Y94A7B.9
Q9N3M0	Y49F6A.3
Q9TXQ3	T27A1.7
O45476	F36G9.8
O45478	F36G9.9
O17360	C05E4.4
Q7YZP5	F28D9.2
O62186	F28D9.2
Q22358	T09E8.5
O45759	T06E6.4
Q9XX84	Y102A5C.29
O45314	C54E10.4
O18110	T22H2.3
O18113	T22H2.1
O62318	M01G12.13
O62308	M01G12.1
O45372	F15H9.2
O62177	F15H9.4
O62176	F15H9.3
O62413	Y22F5A.2
Q9XW32	Y69E1A.6
Q17398	AC3.1
O61946	T24A6.4
O17663	C41G6.11
O17658	C41G6.10
Q9U3M4	C41G6.14
O44574	ZK697.4
O17171	B0454.3
O17170	B0454.4
Q95X80	B0454.10
O17172	B0454.2
Q965H2	T10D4.12
Q966C4	Y27F2A.4
Q966C3	Y27F2A.7
O44841	F33H12.5
O16600	D2062.2
O16594	D2062.8
O44842	F33H12.2
Q9N549	Y27F2A.3
Q5CCJ1	Y27F2A.3
Q9TZE9	T10D4.9
Q9TZE8	T10D4.10
O16690	K07E8.9
O16693	K07E8.11
O16714	F22E5.4
P91552	ZC239.9
Q95Q38	ZC239.19
P91551	ZC239.8
P91553	ZC239.10
Q9TZF0	T10D4.8
O16718	F22E5.16
Q965H1	Y47G7B.3
Q965L6	F34D6.6
Q965L7	F34D6.5
O17111	F39E9.3
O45356	F13A7.8
O45416	F28B1.6
Q86MD0	Y60A3A.22
C6S3M3	Y60A3A.22
Q9XX83	Y102A5C.32
O45967	Y61B8B.1
O16599	D2062.3
O44676	C14C6.10
O44840	F33H12.4
O16591	D2062.9
Q9N547	Y27F2A.2
Q23625	ZK829.8
P90760	C27A7.7
O17124	F31F4.16
O17125	F31F4.8
P91506	T28A11.10
P91507	T28A11.9
Q9UAW7	T20C4.1
O17809	F14H3.1
P91504	T28A11.12
Q966G6	R13D7.3
O01456	C03G6.3
Q9UAX3	Y40B10B.2
O61926	T06A1.2
Q9N5F9	R05D8.2
Q9N4X6	Y45G12C.14
Q9N4X5	Y45G12C.15
O17857	F28H7.11
Q19889	F28H7.1
O44610	R09B5.7
Q5CCI5	R09B5.7
O17355	C05E4.11
O17354	C05E4.10
Q9XTR3	ZK262.10
O18010	T01G5.3
O17830	F22B8.1
Q9GUE7	F07G11.5
Q22283	T07C12.1
Q9GUC0	F48G7.1
O16975	T02B11.5
O16348	F38H12.1
O16347	F38H12.2
Q9NA41	Y73F8A.3
O16986	T03D3.11
O16982	T03D3.6
O16987	T03D3.12
O16981	T03D3.2
Q965U3	Y49C4A.6
Q9TXS5	F37B4.11
Q9N4Z1	Y45G12A.1
O16990	T03D3.14
Q23060	T28H11.2
Q23059	T28H11.3
O16383	K12B6.5
Q18929	D1022.6
O17362	C05E4.3
O17365	C05E4.1
Q9BPM9	Y32G9A.4
O01461	C03G6.18
O01462	C03G6.19
Q19650	F20D6.4
Q6QUQ6	F20D6.4
Q6QUQ5	F20D6.4
A9Z1L1	F20D6.4
Q19651	F20D6.3
Q20338	W07G4.6
O18140	T26H2.8
O45459	F36D3.3
O44618	K11D12.3
A6PVB1	K11D12.3
O16245	C13D9.2
O16246	C13D9.1
Q9XVJ4	T01G5.4
O16244	C13D9.3
Q22211	T05B11.2
Q8IFZ2	T05B11.6
O45887	W03B1.4
Q18678	C47E12.1
O17634	C33A12.14
O17633	C33A12.13
Q18366	C33A12.11
Q18364	C33A12.10
Q18363	C33A12.8
Q95QT6	C28C12.13
Q21788	R07B5.7
Q9XXR7	Y45F10B.11
O62472	Y45F10B.6
O62470	Y45F10B.5
Q20705	F53B2.4
O45729	T02D1.3
O62469	Y45F10B.4
O18021	T04A11.10
O18020	T04A11.9
O18019	T04A11.8
O18018	T04A11.7
Q58A92	T04A11.7
O62050	C08F11.4
O45474	F36G9.5
O45475	F36G9.6
O17132	F31F4.13
O17134	F31F4.14
P83502	T04A11.12
O17077	C38C3.2
O17080	C38C3.1
Q18729	C50C10.2
Q18730	C50C10.3
Q18731	C50C10.4
Q7YTT1	C50C10.8
Q18375	C33D9.4
Q21787	R07B5.6
R07B5.6b	R07B5.6
Q18735	C50C10.1
Q21785	R07B5.4
Q20452	F46B6.11
Q21784	R07B5.3
O17710	C55A1.8
Q9XU50	T08G3.8
Q7YXA4	Y32B12B.7
Q9XV42	F36D1.3
Q22124	T03G11.2
P46564	R13F6.3
Q86GC5	C14A4.15
Q86GB7	Y43F8C.19
O44492	F15E6.7
Q20562	F48D6.2
Q5DX32	F48D6.2
Q22937	C52B9.5
Q23041	T22B7.5
P91999	F53F1.7
P92000	F53F1.8
Q9XVM5	F53F1.9
Q9XU18	H25K10.3
Q22148	T04B2.4
Q86DM4	Y73B6BL.39
Q9U316	Y105C5B.4
Q9U306	Y105C5B.6
Q2HQL3	Y105C5B.6
Q9U312	Y105C5B.10
Q17734	C06E7.7
Q9TYR7	H04M03.6
Q9TYR5	H04M03.8
Q9TYR4	H04M03.9
Q9GUH2	Y73B6BL.10
Q9GUH0	Y73B6BL.11
Q86DM3	Y73B6BL.40
Q86DM2	Y73B6BL.41
Q86DC8	T13A10.14
Q22444	T13A10.6
Q22445	T13A10.7
Q22446	T13A10.9
Q22450	T13A10.12
Q22451	T13A10.13
O45353	F13A7.3
Q9XU94	F57G8.8
Q9XWB6	Y75B12B.7
O16980	T03D3.3
Q965Z6	ZK105.2
O45170	F37B4.8
Q9N5N5	H10D18.3
O01888	R08F11.5
O16341	F59D6.5
Q86D06	ZC482.8
O18277	ZC482.6
Q86D05	M01B2.11
O17654	C41G6.2
Q9U3M3	C41G6.15
O17661	C41G6.8
O17656	C41G6.3
O45776	T10H4.5
O45774	T10H4.6
O45778	T10H4.8
Q9XUR5	T05E12.4
Q86D23	C06B8.9
O45773	T10H4.3
O62254	F49A5.8
O17660	C41G6.7
Q9XXJ9	T05G11.3
Q9XV61	F26D2.11
Q7YTL8	K10G4.9
O62300	K03D7.2
Q9XUV1	K03D7.11
O62381	T26H5.5
Q7YTN6	F36D3.13
Q9XU48	T08G3.10
Q9XU31	F14F8.7
Q9GRV7	Y116F11B.5
Q9XXT1	F19B2.3
Q9N3H7	Y52E8A.5
Q7YTN4	F14F8.10
Q7YTN3	F14F8.11
Q9XU36	F14F8.5
Q9XU32	F14F8.6
O45673	K10G4.2
Q9XV63	F26D2.9
Q9XV24	F40D4.8
Q9XTJ5	T05G11.7
Q9XX07	Y32B12C.2
Q9XXJ7	T05G11.6
Q7YTM3	F36G9.16
O45472	F36G9.1
Q9XXM3	H24D24.2
Q9XXM4	H24D24.1
Q9U8C4	T11F1.1
Q9U3D1	H25K10.7
Q9U2P2	Y37A1B.10
Q9XX39	Y38H6C.2
O76620	Y57G7A.4
Q19558	F18E3.2
Q19561	F18E3.4
Q5DX33	F18E3.4
Q19562	F18E3.5
Q19563	F18E3.6
Q9XV86	F20E11.6
O45739	T03E6.6
Q9NAN0	W06G6.13
Q9XU61	W06G6.6
Q9XU59	W06G6.8
Q9U8C8	T11F1.5
Q9XTR5	ZK262.7
Q9XTR6	ZK262.6
Q9XWL4	Y43F8A.4
O62077	C25F9.1
B5BM37	C25F9.1
O62076	C25F9.7
Q9XU87	F57G8.4
O18053	T06G6.7
Q86DC3	K09D9.13
Q9N4W0	Y46H3C.3
Q9TXK7	K04F1.4
Q9TXU9	H06H21.1
Q9TXU8	H06H21.2
Q9TXK9	K04F1.2
P91549	ZC204.15
Q9TXK8	K04F1.3
Q9N4V9	Y46H3C.2
Q9N4V8	Y46H3C.1
Q7Z2B1	ZK697.13
Q7Z2B2	ZK697.12
O44573	ZK697.5
O16955	R11G11.13
O16957	R11G11.5
O17023	ZK488.9
O62311	M01G12.4
P91384	K12D9.9
O45991	ZK1037.9
P91379	K12D9.4
Q8IFY0	C44C3.6
Q8IFY1	C44C3.5
P91382	K12D9.7
P91380	K12D9.5
P91378	K12D9.3
O61912	H27D07.5
Q7YXG6	C44C3.11
P91160	C44C3.1
Q18402	C33G8.1
P91159	C44C3.2
O61945	T24A6.14
O16414	T05B4.5
O16416	T05B4.6
O16415	T05B4.7
P91385	K12D9.10
O61910	H27D07.4
Q8IFY3	C44C3.3
Q8IFX9	C44C3.7
O16503	C03A7.3
O61908	H27D07.2
O61970	H05B21.3
O61909	H27D07.3
O61971	H05B21.4
O45695	F59E11.1
Q21685	R03H4.2
Q21684	R03H4.3
Q965U4	Y49C4A.5
Q965U1	Y49C4A.4
O16236	F07G11.8
O44674	C14C6.1
O44673	C14C6.9
Q966G9	R13D7.6
Q9XVK3	R10D12.4
Q9N364	Y55F3AM.2
Q7KPX2	C44B12.4
Q7KPX1	C44B12.8
O61897	T07H8.1
A9QY29	F55B12.8
O45309	C47A10.8
Q9GYL0	T05A12.1
Q21991	R13H7.1
O17136	F31F4.4
O17137	F31F4.3
O17138	F31F4.2
O76442	C24B9.16
Q9N5G7	R05D8.4
Q9N5G6	R05D8.5
O45662	K06B4.9
Q965G4	F41H8.4
O17017	R13D11.9
Q94295	T01C4.3
Q94296	T01C4.4
Q94297	T01C4.5
Q94299	T01C4.6
O16498	C03A7.5
O16499	C03A7.6
O45758	T06E6.3
O61881	F59B1.7
Q17710	C06B3.11
O45767	T10C6.3
O45768	T10C6.4
P34490	K01B6.2
Q19027	E02C12.2
Q19026	E02C12.3
Q9XUN0	T26H8.2
Q965V8	Y43B11AL.2
Q7YXU6	Y43B11AL.2
O45779	T10H4.9
O45846	T27C5.2
Q9XX72	Y102A5C.22
Q9XX70	Y102A5C.24
O01457	C03G6.2
O17615	C29F3.6
O61895	T07H8.3
Q966G7	R13D7.4
Q9N5J0	K09D9.10
O44647	K07C6.6
O44646	K07C6.7
O44643	K07C6.8
O44642	K07C6.9
O44641	K07C6.10
O44639	K07C6.11
Q3Y401	F41F3.7
Q20285	F41F3.6
O45689	K12G11.5
Q21170	K03B4.5
Q93163	C01G10.3
Q93162	C01G10.2
Q7YX06	F43A11.4
Q7JLI4	F43A11.6
Q20009	F35B12.1
Q20152	F38B7.4
Q7JLI7	F38B7.7
Q7JLI6	F38B7.8
Q20355	F43A11.1
Q7YX07	F43A11.3
