CBRGID	CELEID
A8WMP5	A3KFF5
A8WMP3	P91116
A8WMP3	P91109
A8WMP3	P91112
A8WMP3	P91117
A8WMP3	A3KFF5
A8XE54	P91116
A8XE54	P91109
A8XE54	P91112
A8XE54	P91117
A8XE54	A3KFF5
A8WMP4	P91116
A8WMP4	P91109
A8WMP4	P91112
A8WMP4	P91117
A8WMP4	A3KFF5
A8X8V3	H9G2W0
A8XFN3	O44957
A8XRG3	Q19642
A8XF36	P34660
A8X0T7	Q7YTL7
A8X4P4	Q93906
A8XPX5	Q18526
A8XWX9	Q18358
A8XDZ2	Q9TZ94
A8XYT2	Q8I105
B6IHN3	Q22613
G2J6N9	Q9NAJ6
G2J6N9	Q9NAJ5
G2J6P0	Q9NAJ6
G2J6P0	Q9NAJ5
A8XAL2	Q9NAJ6
A8XAL2	Q9NAJ5
A8X2C1	Q9TXL5
A8X2C1	O62497
A8X2C2	Q9TXL5
A8X2C2	O62497
A8XED4	Q9TXR4
A8XTB2	O76580
A8XTB2	C0Z1Y4
A8XTX6	Q9XUS1
A8XTX6	O62309
A8WRQ7	G5EFN6
A8WUS3	Q19871
A8WLQ5	Q7YTP3
A8XRI1	G5EF22
A8X026	Q21491
A8XAE0	Q7YX47
A8X693	Q9TYN0
A8WYH2	G4RXG5
A8WYH2	O17200
A8WYH2	O17196
A8WYH2	O17199
A8WYH2	O17198
A8WYH2	O18043
A8WYH2	O16739
A8WYH2	Q9TZK9
A8WYH2	O17195
A8WYH2	O17203
A8WYH2	Q9NDU9
A8WYH2	O02356
A8WNG4	G5EC69
A8X459	G5EE63
A8X463	G5EE63
A8X526	Q93521
A8X527	Q93521
A8WYG3	P17512
A8XBD7	O61830
A8WSS0	Q7YX46
A8WIW6	Q9N5D4
B6IGD5	D4YW54
A8Y0U4	Q7YX82
A8XMQ4	Q9XWU9
A8Y4Q8	Q7YWW3
A8X9P8	H2L0S5
A8XXE3	O45578
A8X6Q2	O45578
A8XFR7	O45578
A8XXF2	O45578
A8X6Q1	O45578
A8WKT3	Q18277
A8XTF8	Q18277
A8X1F8	O44483
A8XDT4	O18284
A8XFN2	O44956
A8WUP8	Q23522
A8XL60	O76617
B6IK83	Q8MNV8
A8XBC8	Q4W504
A8XBC8	Q9N4L1
A8XBC8	O76644
A8XBC8	Q95Y49
A8XBC8	O76600
A8XBC8	O17101
A8WLI1	Q4W504
A8WLI1	Q9N4L1
A8WLI1	O76644
A8WLI1	Q95Y49
A8WLI1	O76600
A8WLI1	O17101
A8WLP6	Q8ITW9
A8WMP1	Q8ITW9
A8WKI5	Q8ITW9
A8XEN9	P90786
A8X664	Q9N315
A8X664	Q9TXH6
A8WVS1	Q18LB3
A8XA36	P34654
A8X158	Q7YTM6
A8X601	Q95Q46
A8WXC7	Q9XVP2
A8XFN7	Q336L2
A8XR91	Q20506
A8XNI5	Q7YX86
A8XV94	Q8MQ10
A8WWE4	Q9N3C7
A8Y3L9	Q3HKD2
G2J6S1	Q7YTK8
A8WTS7	O17151
A8WTS7	Q17809
A8WTS7	O44809
A8WTS7	O17149
A8WTS7	Q17811
A8WTS7	Q17810
A8WTS7	O17152
A8WUW0	O62035
A8WUW0	O62036
A8WUW0	O45468
A8WUW0	H2L054
A8XYQ0	Q9U1S9
A8XYQ1	Q9U1S9
A8WMC7	Q5WRP8
A8X8F4	Q18292
A8Y3D6	D0Z5N3
A8X9K1	Q18819
A8WVM6	Q9GYK3
A8XKN5	Q18660
A8X8Q8	Q8MQ09
A8X037	Q9XXR2
A8XR92	Q22654
A8XM38	Q7YX02
A8XIB1	Q9U2W3
A8XIB1	Q9U2W2
A8X6L6	Q9U2W3
A8X6L6	Q9U2W2
B6IH53	Q9U2W3
B6IH53	Q9U2W2
A8X9Z1	H2KZ62
A8X9Z1	Q18389
A8X9Z1	P34290
A8XIF7	O45489
A8XIF7	Q7YWS9
A8XIF7	Q86D08
A8WY75	A4UVK9
A8X2W5	O44176
A8X6N0	O61769
A8XV82	Q17383
A8XP04	P90980
A8WU27	Q19850
A8WJC5	Q8MYM5
A8Y3D0	B2FDA5
A8XH55	Q20433
A8X6M0	Q95XA3
A8XY53	P52814
A8XI42	Q8WTL0
A8XJX4	Q966K2
B6IH21	Q22664
A8XPF9	Q95QB8
A8X289	Q95QB8
A8WRK4	Q09609
A8XXR8	Q95XT6
A8XXR9	Q95XT6
A8X6K0	E4MVD4
A8WQC7	Q09376
A8WMH9	Q22759
A8WSY0	Q23389
A8Y4E2	B0M0M7
A8WL89	Q9N4F6
A8X759	Q20909
A8XNU3	O61756
B6IM01	B0M0M4
A8WUF9	Q09299
A8X6I5	Q7KPX1
A8XGN9	Q95ZJ6
A8XMP8	Q7YTJ4
A8Y053	Q95X48
A8XXD9	Q9XX13
A8XXD9	Q19588
A8XXD9	Q9XV73
A8XXD9	Q9N5E7
A8XXD9	E7EM25
A8XXD9	O01968
A8XXD9	Q9U2B3
A8XXD9	O17165
A8XXD9	O44848
A8XXD9	E1B6V8
A8XXD9	Q95YC2
A8XXD9	Q965Y3
A8XXD9	O17163
A8XXD9	O61844
A8XXD9	O44537
A8XXD9	O17273
A8XXD9	Q9GUM6
A8XXD9	Q4R178
A8XXD9	J7SEZ1
A8XXD9	O17272
A8XFV7	C7FZT2
A8XRN5	D3KFU5
A8X926	Q23216
A8WXK0	Q9XUG8
A8XPN3	Q9GP99
A8XJ58	Q688B0
A8XZM7	Q9GYG0
A8WJ23	O17682
A8WJ23	Q19116
A8WNI0	P30637
A8XRX1	B2D6P7
A8XXA2	G3MTX6
A8XH74	Q09401
B6IKV2	A7LPG0
A8X7V0	Q4PIX2
A8XVN6	P91833
A8XZE3	Q09968
A8XCQ1	Q18782
A8XQ91	Q9XUC5
A8XQ91	Q7YWS1
A8XQ91	O45858
A8XQ91	O45856
A8XQ92	Q9XUC5
A8XQ92	Q7YWS1
A8XQ92	O45858
A8XQ92	O45856
A8XT52	G5EF71
A8XT52	G5EF25
A8XT51	G5EF71
A8XT51	G5EF25
A8XM74	G5EF71
A8XM74	G5EF25
A8Y1V9	O45943
A8Y1V9	O45229
A8Y130	O45943
A8Y130	O45229
A8WQF6	Q9GUJ1
A8WQF6	Q4R151
A8X3R3	O17257
A8XEI4	O01543
A8XY43	A3FPJ7
A8XPF7	H2L0E2
A8X1J3	Q20322
A8XCJ1	Q7JP83
A8X8V5	G5ECN9
A8X0C7	Q9U3K8
Q4VT26	P54406
A8X4V9	Q21131
A8X4W0	Q21131
A8X585	Q21131
A8X5A3	Q21131
A8XCD3	Q7YX81
A8XCD3	Q4ZGE5
A8WTP9	G5EG31
A8XCW4	Q0G820
B6IH71	G3MU17
A8X1C7	Q95QH2
A8XFZ4	Q21114
A8X6M3	Q95X36
A8WS89	Q20129
A8XPR1	Q19806
A8XU48	Q7YWM3
A8XUQ1	Q9N338
A8WPA3	G5EDC9
A8WPF8	Q09552
A8WUH3	Q8MPP7
A8X5Z4	Q21695
B6IFU3	C9IY33
B6IMC3	B3WFV7
A8WZ66	Q9NAQ5
A8Y137	Q19930
A8Y263	O62054
A8XKW9	Q95Y81
A8WY25	O61667
A8WP02	Q5FC82
A8WT91	Q5FC75
A8WSX5	Q8I116
A8WWL3	Q7YX25
A8XNY6	Q19576
A8Y3N1	P34407
G2J6G2	O45868
A8X4E9	G5EBW9
A8XDT5	Q9XTT6
A8XLQ6	Q9N416
A8XL43	Q9TXZ1
B6IL94	Q93827
A8WU20	P56174
A8XA96	P34361
B6IFQ4	A5Z2U7
A8X1P6	Q9N3X4
A8XNY4	Q19574
B6IHK5	Q21507
A8XWC9	O18167
A8XK16	Q17772
B6ILG7	C7FZT9
A8Y2U9	O17390
A8XDB3	Q95Q85
A8XKJ8	Q9GYG6
A8XMM4	Q9TZ68
A8X3M9	Q20534
A8X3M9	M1Z889
A8X3M9	Q20532
A8XGL3	Q9U3N3
A8XGL3	O45427
A8XGL3	O62453
A8WME1	Q11084
A8XGC9	G4S0Y4
A8XA27	P34545
A8XSR0	P46941
A8XFL1	O01571
B6IEM9	G5EFG6
A8WUD6	B3WFT6
A8WM82	Q7YX50
A8XXR7	F5GU81
A8Y107	O16298
A8WLH9	P91104
A8WLH9	O16768
A8WLH9	O16767
A8WLH9	O16771
A8WLH9	Q9TZG0
A8WLH9	A3KFD9
A8WLH9	O16735
A8WLH9	A3KFE0
H8WH70	P91104
H8WH70	O16768
H8WH70	O16767
H8WH70	O16771
H8WH70	Q9TZG0
H8WH70	A3KFD9
H8WH70	O16735
H8WH70	A3KFE0
A8WMI1	Q93522
A8WMI1	Q21373
A8WMI1	Q18615
A8XQQ2	Q93522
A8XQQ2	Q21373
A8XQQ2	Q18615
A8XE34	Q20193
A8XE34	Q19742
A8XE34	Q20192
A8WJQ2	A3KFD4
A8WJQ2	Q86D19
A8X1T7	H2L0J8
A8X5X9	Q10942
A8XQL4	Q10942
A8XDZ4	Q9XW82
A8XDZ4	Q9XW81
A8XVU0	Q7K714
A8XVS8	Q7K714
B6IH10	Q20941
A8Y1Y8	Q4W529
A8XM43	Q9XWT6
A8WNY4	O44915
A8WNY4	Q9TYL4
A8WNY4	O44912
A8WNY4	Q9TYL3
A8WNY4	O44916
A8WNY4	D5MCU5
A8WMP2	Q9N5U0
A8WMP2	Q95ZM4
A8XE52	Q9N5U0
A8XE52	Q95ZM4
A8XM41	B1Q256
A8XR13	E0AHB5
A8Y2U6	O17388
A8XGE2	O62260
A8WK80	Q9N3H6
A8XVX9	O16209
A8X412	Q3LFM4
A8XCK2	Q20295
A8XFP2	Q4W4Z5
A8XIT2	Q965M7
A8Y4T0	Q5WRN7
A8XN58	Q9XU06
A8XN58	Q9NA88
A8XN58	Q9NA87
A8XN58	Q9NA85
A8XN58	Q9XU04
A8XN58	O61192
A8XN58	Q23477
A8XN58	Q9XU05
A8XN58	Q9NA84
A8XN58	Q9XU08
A8XN58	Q9U214
A8XN58	O45706
A8XAL4	Q7YWR0
A8XAL4	Q9NAJ8
A8XAL4	Q9NAJ9
A8XAL4	Q9NAK0
A8XAL5	Q7YWR0
A8XAL5	Q9NAJ8
A8XAL5	Q9NAJ9
A8XAL5	Q9NAK0
G2J695	Q7YWR0
G2J695	Q9NAJ8
G2J695	Q9NAJ9
G2J695	Q9NAK0
A8XAL3	Q7YWR0
A8XAL3	Q9NAJ8
A8XAL3	Q9NAJ9
A8XAL3	Q9NAK0
B6IHL5	P34472
A8XBY8	Q966P7
A8WXN4	Q966P7
A8X0W4	A5Z2S9
A8WVQ2	O01800
A8WUB6	Q7JP47
A8XA00	Q21196
B6IFM6	O45004
A8XRQ0	Q8MYQ5
H8WHA5	Q2XMZ1
A8XLE9	C7GIK6
B6IFC0	C8JQQ0
A8XT66	Q95QC4
A8WUV8	Q95XP7
A8X465	Q9XXK3
A8XVE3	Q7YWN0
A8XXJ1	Q9U1R1
Q611X0	Q23229
A8XA72	P34320
A8Y3J8	O01978
B6IH01	H2KMK8
A8X782	Q7YTJ9
A8XZK7	O45748
A8Y1T6	Q9BL53
A8X873	Q95Y91
A8WMY7	O45726
A8WMY7	Q7YWS0
A8WMY7	B6EU69
A8WMY9	O45726
A8WMY9	Q7YWS0
A8WMY9	B6EU69
A8XVK3	Q8MXU0
A8XVK3	Q7YWP6
A8XVK3	Q9U2F4
A8WX22	Q9XWI8
A8WX18	Q9XWI8
A8XH95	Q9XUJ5
A8XH95	Q9U2C8
A8WXH4	F5GUE5
A8X1T2	G5EGT5
A8XCL5	G4RV56
A8X4X2	Q23396
A8X2D0	Q965M9
A8XYW9	Q9U2A9
A8XGG1	Q95ZM3
B6IJX8	Q20670
A8XM51	Q9XWS8
A8Y1C6	Q9N5V8
A8XLA3	O16218
A8XLA0	O16218
A8Y0G1	O16218
A8Y0G5	O16218
A8Y0F9	O16218
A8Y0G3	O16218
A8XWJ1	O16218
G2J702	Q19363
A8WKI4	Q19363
B6IG43	Q9TZI4
B6IG43	G5EBL4
A8WSZ3	Q09416
A8WP10	Q7YWN2
A8XEE5	P91181
A8Y409	Q9U3P0
A8XYA7	O17778
A8X833	Q9NLD4
A8XMP1	Q58A90
A8XJX3	Q966K3
A8XRR6	Q7YTS8
A8Y4S3	Q7YX03
A8Y2A5	Q9GYM0
A8Y2A5	Q9GYM2
A8Y2A6	Q9GYM0
A8Y2A6	Q9GYM2
A8Y457	Q21015
A8Y457	O45186
A8XXI0	O17270
A8XK25	Q17666
A8X279	Q17391
A8XRN4	Q09EF0
B6IIJ6	Q9U3E7
A8XQ81	Q6LCK7
A8XQ81	A3FPJ5
A8XQ81	A3FPJ4
A8XQ80	Q6LCK7
A8XQ80	A3FPJ5
A8XQ80	A3FPJ4
A8XQ76	Q6LCK7
A8XQ76	A3FPJ5
A8XQ76	A3FPJ4
A8XXD5	O61745
A8XXD5	O45063
A8XXD5	Q9TYX9
A8XXD5	H2KY62
A8WN36	Q9TYP8
A8WSC4	Q9TYP8
B6IGH8	Q94162
B6IGH8	Q7YWT3
A8XEF4	O01766
A8WYF4	Q7YWW0
B6IFD2	G4S3E4
A8Y017	O02076
A8XFZ0	Q21117
A8X8V7	Q7YTP7
A8X171	Q9TZ75
A8Y4R6	Q7YX55
A8WRF1	O44506
A8WZ20	Q11115
A8XNY9	G1K0U7
A8XI96	O62231
A8WM37	Q9U3T3
A8Y1T3	O02114
A8XLL5	Q20348
A8X980	O16302
A8XG44	P51559
A8XN76	Q7YX23
B6IG15	Q19501
B6IH81	Q9TZ27
B6IH81	Q9TZ26
B6IH81	Q2WF55
B6IH81	Q9TZC0
B6IH81	Q9TZ19
B6IH81	Q19169
B6IH81	Q9TZ21
B6IH81	A4F334
B6IH81	Q19168
B6IH81	Q9TZC1
B6IH81	Q2V070
B6IH81	A4F331
B6IH81	Q9TXM9
B6IH81	O45159
B6IH81	Q95XL3
B6IH81	Q9TZ24
B6IH81	P91522
B6IH81	Q95Y64
B6IH81	Q8IAB2
B6IH81	A4F332
B6IH81	Q9N5X0
B6IH81	Q95XK8
B6IH81	Q9N5W9
B6IH81	Q968Z2
B6IH81	A4F329
B6IH81	Q9TZ22
B6IH81	A4F330
B6IH81	Q966E4
B6IH81	O45561
B6IH81	O45333
B6IH81	Q95XL2
B6IH81	Q966E6
B6IH81	O45329
B6IH81	O44888
B6IH81	Q9TZ29
B6IH81	O17135
B6IH81	Q9BKX3
B6IH81	O18085
B6IH81	Q9N5W8
B6IH81	O44890
B6IH81	G4SG25
B6IH81	Q95XL4
B6IH81	A4F303
B6IH81	A4F333
B6IH81	O44889
B6IH81	Q95XB6
B6IH81	Q95XK9
B6IH81	Q9N5X2
B6IH81	Q95XB7
B6IH81	Q9GR36
B6IH81	Q9N5X3
B6IH81	O76638
B6IH81	Q2WF60
B6IH81	O44892
B6IH81	Q9GR37
B6IH81	Q9TZ85
B6IH81	F8WU15
B6IH81	Q9TZ23
B6IH81	Q966E3
B6IH81	C7GIL0
B6IH81	Q95XB5
B6IH81	Q95XC0
B6IH81	Q4W5Q7
B6IH81	Q95XB8
B6IH81	Q95Y66
B6IH81	Q9BKX6
B6IH81	Q95XB2
B6IH81	Q9TXM7
A8X191	Q4W510
A8X191	Q4W508
A8X191	Q4W509
A8X192	Q4W510
A8X192	Q4W508
A8X192	Q4W509
A8XVZ6	Q20251
A8XVZ7	Q20251
A8WPK5	Q9N4S8
B6ILN4	D2N114
A8WTP5	P34601
A8WTP5	Q9N5Z0
A8XR23	P34601
A8XR23	Q9N5Z0
A8XX39	P34601
A8XX39	Q9N5Z0
A8XZI1	P34601
A8XZI1	Q9N5Z0
A8XZT0	P34601
A8XZT0	Q9N5Z0
A8XYC3	O18201
A8XN36	Q17775
A8XSN6	Q18486
A8WVG8	Q9XW64
A8XH64	Q95R15
A8XDD0	Q960A6
A8XDD1	Q960A6
A8WZH9	G5EET5
A8XSK8	E4MVD2
A8X7S7	P46505
A8XAA0	P34608
A8XXC9	B7WN74
A8WKC4	Q9GYR3
B6ILB6	E6N0U7
A8WTI7	G5EFN2
A8XDI3	Q7YX83
A8Y4H6	Q7YWZ1
A8XJ09	O18135
A8XJ09	O18137
A8XJ09	Q9XUZ6
A8XJ09	I2HAL4
A8XJ08	O18135
A8XJ08	O18137
A8XJ08	Q9XUZ6
A8XJ08	I2HAL4
A8Y3I1	O76637
A8Y3I1	O16745
A8Y3I1	O17178
A8Y3I1	G4RXN1
A8Y3I1	P91294
A8WU41	Q95ZS9
A8X877	Q95ZS9
A8WU38	Q95ZS9
G2J6P1	O45955
A8XAS0	O45955
A8X7M3	O45955
A8X3J2	O44833
A8WU22	Q09627
A8XBA4	O44583
B6IIU3	A7DTF6
A8WTD4	G5EG17
B6IL52	E4MVD5
A8WWZ2	Q9N402
B6IFJ0	O18036
A8XSQ7	Q18512
A8XWS0	Q9N4T7
A8Y0M5	Q9N5G8
A8WVB2	O18134
A8WVB2	O18136
A8WVE6	O18134
A8WVE6	O18136
A8WVE7	O18134
A8WVE7	O18136
A8XX66	O18134
A8XX66	O18136
A8XAW1	O18134
A8XAW1	O18136
A8WVE3	O18134
A8WVE3	O18136
A8XEN5	O18134
A8XEN5	O18136
A8XHU5	Q09664
A8XHU5	O18299
A8XHU5	Q23562
A8XHU5	Q23559
A8WX69	Q09664
A8WX69	O18299
A8WX69	Q23562
A8WX69	Q23559
A8WX67	Q09664
A8WX67	O18299
A8WX67	Q23562
A8WX67	Q23559
A8WTJ6	Q09664
A8WTJ6	O18299
A8WTJ6	Q23562
A8WTJ6	Q23559
A8XF04	O17992
A8XF04	Q8MNV3
A8X1M5	O17992
A8X1M5	Q8MNV3
A8WTP0	Q9NAN7
A8WL55	Q23023
A8X2S2	A8WHS7
A8XCW1	A8WHS7
A8X2V1	A8WHS7
A8WQB9	A8WHS7
A8X295	A8WHS7
A8XSD8	A8WHS7
A8Y0C2	Q7YTI7
A8Y0C2	Q7YTI6
A8Y0C2	Q9GYU3
A8Y0C2	Q9TXS4
A8XU35	Q7YTI7
A8XU35	Q7YTI6
A8XU35	Q9GYU3
A8XU35	Q9TXS4
A8WYY1	G5ECX4
A8WYY1	L8E800
A8X794	O01702
A8XM56	F5GU84
A8XIF4	Q9NAE4
A8Y3J0	O76691
A8Y3J0	O76692
A8Y3J0	O76694
A8Y3J0	O76693
A8Y3J0	O18145
A8Y3J0	Q5R3S7
A8Y3J0	O18004
A8Y3J0	O44475
A8Y3J0	Q95QS7
A8Y3I2	O76691
A8Y3I2	O76692
A8Y3I2	O76694
A8Y3I2	O76693
A8Y3I2	O18145
A8Y3I2	Q5R3S7
A8Y3I2	O18004
A8Y3I2	O44475
A8Y3I2	Q95QS7
A8WNW3	Q5CCI7
A8WNW3	O16446
A8WNW2	Q5CCI7
A8WNW2	O16446
A8WZC0	F0IWU1
A8WZB6	F0IWU1
A8WSR5	G5ED63
A8XHL1	O61660
A8X3R2	O44852
A8WZ39	Q4PIW6
A8XDL6	Q7YX51
A8XSP0	Q8IG41
A8XP81	P34394
A8X3X9	Q7KQ33
A8XZP0	P46583
B6IER8	Q565D0
A8WVE0	B5BM39
B6IFH0	B5BM39
A8Y270	O45700
A8Y271	O45700
A8XUV3	Q27483
A8X4Q7	G5EF24
A8WUM0	Q10912
A8WUB5	Q18060
A8X4U4	Q20746
A8XAS5	Q6BER4
A8XTG5	Q18283
A8XVN7	Q58A94
B6ILC2	Q9NF10
A8X3G3	O16573
A8X3G3	Q9N495
A8X3G3	Q9N496
A8X853	O16573
A8X853	Q9N495
A8X853	Q9N496
A8X3G0	O16573
A8X3G0	Q9N495
A8X3G0	Q9N496
A8XND7	Q966K0
A8XND6	Q966K0
A8Y085	Q9U1V0
A8WZ96	Q9N3Q6
B6IHF9	Q17822
A8XAL0	Q5GMH8
A8XAL0	Q5GMI1
A8XAL0	Q9GR30
A8XAL0	Q95XB3
A8XAL0	Q95XB4
A8XAL0	Q9GR29
A8XAL0	Q4W511
A8XAL0	O62268
A8XAL1	Q5GMH8
A8XAL1	Q5GMI1
A8XAL1	Q9GR30
A8XAL1	Q95XB3
A8XAL1	Q95XB4
A8XAL1	Q9GR29
A8XAL1	Q4W511
A8XAL1	O62268
A8XIQ0	I7K4I5
A8XIQ1	I7K4I5
A8XIP7	I7K4I5
A8XIP8	I7K4I5
B6IM50	Q9TXT8
B6IM50	P91231
B6IM50	O16212
A8Y2S4	Q9TXT8
A8Y2S4	P91231
A8Y2S4	O16212
A8X7P5	Q9XVC4
A8X7P5	Q93513
A8XLB4	H8ESE8
B6IES1	D2Y8W3
B6IIK3	E4MVC6
A8X0B0	Q9XWL6
A8WZ88	O44978
A8XZN4	Q9GYG2
A8WLA7	A4F317
A8WLA7	I2HAC4
A8XZY9	A4F317
A8XZY9	I2HAC4
A8WMI8	A4F317
A8WMI8	I2HAC4
A8Y131	Q20132
A8WNE9	Q20132
A8WNF0	Q20132
A8XQE8	Q20132
A8WTM2	O16681
A8WTM2	Q95X87
G2J665	Q94208
G2J665	O62058
A8XM83	Q17719
A8XV58	Q19154
B6II66	Q9N2U7
A8XAV8	Q9NA67
A8XAW0	Q9NA67
B6II44	O45406
A8X025	Q8MQ04
A8XJQ5	Q9BLC4
A8Y2S3	Q564T6
A8Y2S3	Q7JKV5
A8Y2S3	Q9XUZ1
A8Y2S3	Q9XVB8
A8Y2S3	B1Q275
A8Y2S3	Q9XUZ3
A8Y2S3	Q9XUY7
A8Y2S3	Q9U2X5
A8Y2S3	O61804
A8XJX8	Q564T6
A8XJX8	Q7JKV5
A8XJX8	Q9XUZ1
A8XJX8	Q9XVB8
A8XJX8	B1Q275
A8XJX8	Q9XUZ3
A8XJX8	Q9XUY7
A8XJX8	Q9U2X5
A8XJX8	O61804
B6IJC3	Q564T6
B6IJC3	Q7JKV5
B6IJC3	Q9XUZ1
B6IJC3	Q9XVB8
B6IJC3	B1Q275
B6IJC3	Q9XUZ3
B6IJC3	Q9XUY7
B6IJC3	Q9U2X5
B6IJC3	O61804
A8XPS8	Q20980
A8XJ68	Q20980
A8Y230	Q20980
A8XJ67	Q20980
A8X7Q7	Q20980
A8XAW8	Q20980
A8XAS6	Q20980
A8WJ85	Q20980
A8X7Q6	Q20980
A8WVD9	O16550
A8WVD9	Q9N4K5
A8WVD9	Q95Y47
A8WVD9	Q95Y48
A8WVD9	Q9XWG0
A8WIY2	O16892
A8WZK4	Q23197
A8X3N2	Q7JPJ3
A8XIM5	Q19701
A8WJ44	Q7YWN8
A8WJ44	Q7YX98
A8WJ44	A8DZ46
A8WJ44	Q7YX97
A8WJ43	Q7YWN8
A8WJ43	Q7YX98
A8WJ43	A8DZ46
A8WJ43	Q7YX97
A8WIW4	Q7YWN8
A8WIW4	Q7YX98
A8WIW4	A8DZ46
A8WIW4	Q7YX97
A8WLI7	G5EDF8
A8WLI7	Q9GR41
A8X3F2	Q03610
A8XGW8	Q95QK5
A8XID9	O45828
A8XIC6	O45828
A8WIU5	O16217
A8WUC7	Q09659
A8XU55	O17675
B6IHK7	O76717
B6IFC5	Q4TTC2
B6II63	Q9BKZ7
A8XJ01	G2HJZ5
A8WU26	Q21245
A8WTT5	Q2V4T9
A8XKP1	H2KZC1
A8XJE5	Q18010
A8X7G4	Q9UAZ5
B6IL49	Q94244
B6IKB2	Q95Y40
A8X305	Q18764
A8WP38	Q9XXC2
A8X3H7	Q9U2I7
A8XYS6	Q23145
A8WT85	Q9N509
A8WT85	B1V8J7
A8WJ91	Q9N509
A8WJ91	B1V8J7
A8WJE6	Q9N509
A8WJE6	B1V8J7
A8XQ06	O61736
A8WUY2	Q9XXK6
A8XXE5	Q22954
A8XYH4	Q7YX76
A8XBQ6	H1ZUW8
A8Y1Z8	H1ZUW8
A8XWQ7	H1ZUW8
A8XWR7	H1ZUW8
A8XR48	H1ZUW8
A8XBR7	H1ZUW8
A8XSK0	H1ZUW8
A8Y1S7	H1ZUW8
A8Y1S6	H1ZUW8
A8XAG4	H1ZUW8
A8XSH6	H1ZUW8
A8XF57	H1ZUW8
A8XJ62	H1ZUW8
A8XR50	H1ZUW8
A8Y1K5	H1ZUW8
A8XMC6	H1ZUW8
A8XWR9	H1ZUW8
A8Y1G5	H1ZUW8
B6II49	P41991
B6II49	Q9U2E1
B6II49	Q9XVC9
B6II49	Q9XWH5
A8WVE1	Q20182
A8XV04	E7EM26
B6ILL9	O45316
B6ILA9	Q9N5H1
B6IJJ9	O16743
B6IJJ9	P91225
A8WKS9	O45640
A8WKS9	Q9TYZ6
A8WPG3	O45640
A8WPG3	Q9TYZ6
A8WPH1	O45640
A8WPH1	Q9TYZ6
A8XSB6	Q9XUS8
A8X7M5	Q9U2Z8
A8X7M7	Q9U2Z8
B6IES3	D6VPA4
A8WS91	Q9XWR9
A8XLH2	Q2XN20
A8Y2Z2	P91178
A8Y2Z2	Q7YTI9
A8Y2Z2	Q23181
A8Y2Z2	O17249
A8Y2Z2	G5EC58
A8Y2Z2	Q9XTS0
A8Y2Y9	P91178
A8Y2Y9	Q7YTI9
A8Y2Y9	Q23181
A8Y2Y9	O17249
A8Y2Y9	G5EC58
A8Y2Y9	Q9XTS0
A8XJY2	Q19918
A8XJY2	Q18054
A8XJY2	Q19917
A8XJY2	Q18056
A8XJY2	Q18053
A8Y0L3	Q19918
A8Y0L3	Q18054
A8Y0L3	Q19917
A8Y0L3	Q18056
A8Y0L3	Q18053
A8WP56	O17357
B6IMB6	Q20803
A8WVS6	Q9TZH5
B6IF26	Q95ZK8
A8XEF5	O01767
A8XEF5	O61789
A8WXT6	A3RMT8
A8XQG9	A3RMT8
A8X6D9	O45397
A8WKL1	Q9XUY8
A8XUR3	Q09342
B6IF89	Q9XV49
A8XWK1	Q22415
A8XWK0	Q22415
A8XWP2	Q22415
A8XWP1	Q22415
A8X1R4	Q22415
A8XR20	D0VWN4
A8XR20	Q565B8
A8XR20	Q565C0
A8XRC0	D0VWN4
A8XRC0	Q565B8
A8XRC0	Q565C0
A8X588	G4SDC8
A8X588	O44885
B6IMC2	C9IY28
A8XBN4	Q2PJ80
A8WRM3	G5EFH8
A8X556	H2KZF4
A8XAV7	H2KZF4
A8XIC2	H2KZF4
A8X6M2	H2KZF4
A8X6M1	H2KZF4
A8XTX3	P46500
A8WJG0	P46500
A8XW32	P91057
A8XVU3	P91057
A8XQM0	Q20385
A8XNX3	Q565A3
B6IHD6	Q22131
A8WVH7	P91541
A8WVH7	P91540
A8WVH7	Q9TZG3
A8WVH7	Q9TZG4
A8WVH7	Q9N5T3
A8WVH7	O16577
A8WVH7	Q9U231
A8WVH7	Q9U232
A8WVH7	P91538
A8WVH7	P91539
A8WVH7	Q9TZG9
A8WVH7	Q9U219
A8WVH7	P91449
A8WVH7	Q4W513
A8WVH7	Q9TZG6
A8WVH7	O17120
A8WVH7	O17122
A8WVH7	P91222
A8WVH7	O02111
A8WVH7	F8Y416
A8WVH7	Q9TZG5
B6IHD0	Q4R137
B6IHD0	Q4R136
B6IHD0	Q3V5L1
B6II71	O76396
B6II71	O16877
A8WPB5	G5EGM0
A8WWR9	P90848
A8XDD7	O01794
B6IG38	D0VWM3
A8XT92	Q20080
B6IH20	O62264
B6IK43	P91185
B6IFL3	Q75MI6
A8Y1L4	G5EGM7
A8Y1L4	Q9U1S8
B6IK32	H2KZJ4
B6IK32	O16597
A8Y255	O45226
B6IFA2	G5EDP8
B6IFA2	G5EDJ8
B6IFA2	Q23184
B6IFA2	G5EC79
B6IFA2	D0FY30
A8WUG8	Q19262
A8XRI6	Q18282
A8XIL9	Q18282
A8X6D7	Q18282
A8WR87	Q18282
A8XX77	Q86S48
A8XX78	Q86S48
A8XX76	Q86S48
A8XX68	Q86S48
A8XI36	Q93483
A8XI36	Q93484
B6IJP9	Q565B1
B6IJP9	Q9XWT1
B6IH48	Q4R134
G2J6H4	Q9XU37
A8XVY0	P91114
